SerialNumber,d0851b757d45a316f175a1ad09a9efd52e5a138f
TotalPlayTime,3693.46
TotalDeathCount,21
TotalKilledEnemies,425
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",105.86,103,0,0.00,32.38,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,20,15,1,12,0,""
"C1_Stage2_1","",40.43,43,0,685.00,16.20,42.2842,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,18,3,0,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",87.77,37,2,310.28,11.70,26.5196,13,0,1.50,10.77,0.1393,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,7,4,0,3,0,""
"C1_Stage2_3","",66.29,47,2,709.50,22.20,31.9596,12,1,273.50,5.70,47.9824,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun}",30.00,15,1,2,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",38.73,14,1,400.60,7.53,53.1766,18,1,286.50,11.40,25.1314,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",50.00,11,1,2,2,1,"Hinge-Hitbox:20;C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_5","",64.31,62,0,1030.20,25.83,39.8789,7,2,181.00,2.47,73.3800,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",70.00,30,10,7,9,1,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:10;Hinge-Hitbox:20"
"C1_Stage2_6","",240.34,230,3,3951.20,89.05,44.3686,44,7,684.50,30.68,22.3116,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff}",140.00,109,39,23,39,3,"C1PistolMob (2)-AttackHitbox:30;Hinge-Hitbox:40;FallDamageArea (3)-:10;FallDamageArea (1)-:10;C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (21)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",34.10,17,0,209.40,6.70,31.2534,10,1,217.00,7.36,29.4887,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,16,8,2,10,0,"Hinge-Hitbox:10"
"C1_Stage2_8","",47.08,61,0,1104.50,21.95,50.3187,2,1,33.00,0.82,40.4090,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,24,10,1,7,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",60.91,18,0,128.00,6.60,19.3940,16,1,92.00,11.32,8.1295,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",50.00,8,3,0,2,1,"C1SandMecha-MeleeHitbox:40;C1SandMecha-DashAttackHitbox:10"
