SerialNumber,4c6ae3040b3178b8dc91bede137a6a7ac27ee30b
TotalPlayTime,1341.84
TotalDeathCount,1
TotalKilledEnemies,108
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",24.40,18,0,282.00,7.55,37.3511,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,0,5,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",108.66,32,0,390.00,11.80,33.0509,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,9,4,14,1,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMobForDashTutorial (1)-AttackHitbox:20"
"C1_Stage2_3","",6.29,1,0,0.00,0.47,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage2_4","",131.47,44,0,582.60,14.48,40.2257,40,3,270.00,34.00,7.9412,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",90.00,25,13,19,7,0,"C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob (1)-Attack:20;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob (1)-Rush Attack:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_5","",38.10,7,0,104.00,3.89,26.7024,10,1,236.00,6.55,36.0303,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",50.00,4,1,7,0,0,"Hinge-Hitbox:10;C1EliteTonpaMob (1)-Rush Attack:30;FallDamageArea-:10"
"C1_Stage2_6","",73.77,51,0,579.80,15.98,36.2754,16,3,208.00,13.15,15.8176,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",70.00,10,9,14,4,0,"C1EliteTonpaMob (2)-Rush Attack:30;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;Hinge-Hitbox:10"
"C1_Stage2_7","",181.53,101,0,1473.00,37.35,39.4377,51,6,572.00,34.48,16.5874,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun}",130.00,45,31,26,18,1,"Hinge-Hitbox:40;C1PistolMob (2)-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_8","",39.28,19,0,298.70,7.00,42.6714,6,1,113.00,4.97,22.7516,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",20.00,9,2,6,4,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",63.67,50,0,981.00,19.82,49.5044,4,1,113.00,1.92,58.9578,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,14,2,8,2,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_10","",51.00,14,0,122.70,6.52,18.8281,9,1,89.00,7.68,11.5837,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,0,9,1,0,"C1SandMecha-MeleeHitbox:10"
