SerialNumber,b0cbe7f1ace61e5a32c0457b9f4e920242272584
TotalPlayTime,2071.14
TotalDeathCount,3
TotalKilledEnemies,158
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",134.61,120,0,0.00,36.97,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,26,19,0,12,0,"C1MidBoss-TangTang 1:30;C1MidBoss-TangTang 2:20;C1MidBoss-RushKick:30"
"C1_Stage2_1","",74.17,62,0,689.00,19.53,35.2732,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,12,8,2,3,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",110.59,45,1,185.36,16.10,11.5130,18,1,126.50,12.73,9.9346,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",0.00,8,4,0,4,0,""
"C1_Stage2_3","",98.69,39,0,494.50,15.38,32.1450,31,6,533.00,29.45,18.0985,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,13,8,2,5,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",21.95,12,0,182.40,3.15,57.9043,9,2,196.00,10.13,19.3422,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,4,2,2,3,0,"Hinge-Hitbox:10;C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_5","",50.12,62,1,789.00,19.28,40.9162,6,0,21.00,2.67,7.8751,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",60.00,10,4,6,3,0,"Hinge-Hitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:20;FallDamageArea (1)-:10"
"C1_Stage2_6","",103.25,75,3,972.50,30.40,31.9901,48,0,513.00,19.93,25.7355,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff}",90.00,27,12,9,7,0,"Hinge-Hitbox:40;C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Attack:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",28.17,26,1,388.00,9.82,39.5252,5,0,33.00,0.27,123.7802,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,5,1,2,3,0,""
"C1_Stage2_8","",47.75,68,0,961.60,19.88,48.3628,8,0,168.00,0.87,193.8389,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,10,4,0,5,0,"C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",65.73,13,0,194.00,7.22,26.8822,23,0,22.50,11.50,1.9565,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",60.00,3,0,0,0,1,"C1SandMecha-MeleeHitbox:60"
