SerialNumber,9d83e7a2726d30f13f713d5a8d5b1b9107a13e71
TotalPlayTime,3251.65
TotalDeathCount,0
TotalKilledEnemies,326
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",95.67,94,0,0.00,28.93,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,20,19,0,11,0,"C1MidBoss-TangTang 1:10;C1MidBoss-RushKick:10"
"C1_Stage2_1","",51.88,31,0,697.00,11.57,60.2591,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,14,10,0,3,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",101.72,29,1,229.54,10.08,22.7642,12,1,81.50,10.13,8.0428,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,8,7,1,3,0,""
"C1_Stage2_3","",72.15,45,1,922.70,19.62,47.0368,9,2,72.00,2.28,31.5330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",10.00,15,10,0,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_4","",16.78,16,1,326.70,6.02,54.2987,2,0,3.00,1.07,2.8125,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,7,4,2,1,0,"Hinge-Hitbox:10;C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_5","",45.63,44,1,845.60,17.50,48.3197,4,1,6.00,1.60,3.7499,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,15,7,5,3,0,"FallDamageArea-:10"
"C1_Stage2_6","",63.87,79,2,1408.60,27.09,51.9887,8,1,69.00,2.06,33.5648,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,20,14,8,10,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",28.42,23,1,429.00,7.77,55.2361,2,0,3.00,0.90,3.3332,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,6,4,2,4,0,""
"C1_Stage2_8","",48.95,53,1,1128.00,16.77,67.2759,2,0,3.00,0.80,3.7498,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,13,7,0,5,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",30.89,11,1,200.00,5.28,37.8545,5,0,6.00,2.03,2.9507,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,5,4,0,1,0,""
"C1_Stage3_1","",24.13,15,0,286.30,7.35,38.9525,4,1,33.00,1.23,26.7567,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,9,3,3,1,0,""
"C1_Stage3_2","",38.68,45,1,769.40,16.18,47.5429,5,1,21.00,1.55,13.5480,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,15,9,2,4,0,"C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",32.42,51,1,782.70,15.50,50.4970,6,1,55.40,1.83,30.2236,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,12,10,1,5,0,""
"C1_Stage3_4","",52.71,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Stage3_5","",7.16,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
