SerialNumber,9d83e7a2726d30f13f713d5a8d5b1b9107a13e71
TotalPlayTime,4516.64
TotalDeathCount,13
TotalKilledEnemies,347
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",93.84,84,0,0.00,24.55,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,16,15,0,8,0,"C1MidBoss-RushKick:10"
"C1_Stage2_1","",49.53,39,0,689.00,16.35,42.1407,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,25,11,0,5,0,""
"C1_Stage2_2","",84.19,33,1,310.15,11.27,27.5280,12,1,1.50,10.72,0.1400,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,10,8,0,4,0,"C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",67.65,41,2,649.90,16.45,39.5076,14,1,354.00,6.57,53.9088,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,18,15,0,6,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_4","",18.15,15,1,341.40,5.62,60.7830,2,0,3.00,0.78,3.8298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,6,6,2,3,0,""
"C1_Stage2_5","",42.25,40,2,752.70,15.92,47.2898,12,0,96.00,3.85,24.9348,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,16,13,6,8,0,"Hinge-Hitbox:10"
"C1_Stage2_6","",231.86,190,8,3644.10,74.32,49.0345,36,1,441.00,19.60,22.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff}",110.00,95,69,18,31,2,"C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob (3)-Rush Attack:20;Hinge-Hitbox:40;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_7","",26.02,22,1,395.00,9.25,42.7010,4,0,33.00,0.27,123.7802,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,11,8,2,1,0,"Hinge-Hitbox:20"
"C1_Stage2_8","",44.17,52,1,1157.70,16.47,70.3056,2,0,3.00,0.80,3.7498,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,14,10,0,6,0,""
"C1_Stage2_9","",38.09,10,1,200.00,5.13,38.9604,4,0,6.00,2.35,2.5532,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,7,4,0,3,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",30.92,17,2,268.00,9.65,27.7723,8,0,51.00,0.98,51.8674,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,9,3,2,1,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",45.50,29,2,622.00,15.00,41.4657,4,0,6.00,1.52,3.9562,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,23,12,5,4,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Stage3_3","",40.55,38,2,788.00,14.98,52.5915,9,1,75.00,3.48,21.5292,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",20.00,17,11,1,6,0,"C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_4","",3.52,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Stage3_5","",194.22,92,0,0.00,27.92,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,29,28,0,10,0,"C1MidBoss-KickKick 2:20;C1MidBoss-RushKick:10"
"C1_Boss_1","ReduceDashCooltime",85.65,17,0,229.00,15.47,14.8058,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,27,4,0,2,1,"C1TonpaMobPrefab A-AttackHitbox:20"
"C1_Boss_2","ReduceDashCooltime",62.50,51,2,1049.90,24.73,42.4487,14,2,429.00,3.82,112.4058,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",0.00,24,19,0,6,0,""
"C1_Boss_3","ReduceDashCooltime",51.28,72,1,960.70,25.38,37.8483,7,2,52.40,2.25,23.2397,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",0.00,23,17,0,6,0,""
"C1_Boss_4","ReduceDashCooltime",224.41,83,1,1113.00,30.48,36.5123,4,0,61.50,0.27,230.6813,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,30,20,2,8,0,"FallDamageArea-:10;C1PistolMob (3)-AttackHitbox:10"
"C1_Boss_5","ReduceDashCooltime",0.66,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_6","ReduceDashCooltime",42.78,28,4,751.00,17.78,42.2303,8,0,69.00,0.23,295.6318,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",0.00,14,8,0,3,0,""
"C1_Boss_7","ReduceDashCooltime",288.83,100,6,1456.60,36.50,39.9058,19,0,102.00,5.68,17.9464,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff}",10.00,26,24,0,12,0,"C1Boss-CounterAttackHitbox:10"
"C2_Stage2_1","StrongerFeverTime",16.38,21,0,327.00,6.62,49.4186,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,4,0,2,0,""
"C2_Stage2_2","StrongerFeverTime",13.35,16,0,160.00,5.25,30.4762,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,8,2,0,1,0,""
"C2_Stage2_3","StrongerFeverTime",118.02,28,0,269.50,10.35,26.0372,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,19,0,90.00,11.85,7.5955,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",0.00,27,16,0,13,0,""
"C2_Stage2_4","StrongerFeverTime",37.61,1,0,0.00,7.08,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,26,0,0.00,11.65,0.0000,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff};{order:7,from:Spear,to:Spear};{order:8,from:Staff,to:Staff};{order:9,from:Spear,to:Spear};{order:10,from:Staff,to:Staff};{order:11,from:Spear,to:Spear}",10.00,0,0,0,0,0,"Player-슈아2 감전 스택 폭발:10"
"C2_Stage2_5","StrongerFeverTime",30.70,27,2,468.00,11.43,40.9329,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,4,0,20.00,2.47,8.1077,"{order:1,from:Staff,to:Staff};{order:2,from:Spear,to:Spear};{order:3,from:Staff,to:Staff};{order:4,from:Spear,to:Spear};{order:5,from:Staff,to:Staff}",10.00,15,8,0,3,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Stage2_6","StrongerFeverTime",50.70,40,1,723.50,15.33,47.1820,1,0,7.50,1.02,7.3758,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,4,0,40.00,2.89,13.8203,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,20,17,0,2,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ElecWhipmanPrefab-AttackBrokenHitBox:10"
"C2_Stage2_7","StrongerFeverTime",56.17,30,1,539.00,9.32,57.8489,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,12,1,240.00,9.23,25.9919,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff}",20.00,24,16,0,8,0,"C2ElecWhipmanPrefab (1)-LowAttackHitBox:10;Player-슈아2 감전 스택 폭발:10"
"C2_Stage2_8","StrongerFeverTime",72.86,76,0,1263.00,21.22,59.5297,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,13,2,40.00,7.05,5.6737,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff};{order:7,from:Spear,to:Spear};{order:8,from:Staff,to:Staff};{order:9,from:Spear,to:Spear};{order:10,from:Staff,to:Staff}",40.00,20,18,0,5,1,"C2ElecWhipmanPrefab-AttackHitBox:20;Player-슈아2 감전 스택 폭발:10;C2ElecWhipmanPrefab-LowAttackHitBox:10"
"C2_Stage2_9","StrongerFeverTime",40.10,17,2,895.00,7.75,115.4839,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,5,2,185.00,3.23,57.2197,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff}",10.00,8,4,0,4,0,"C2EliteMobPrefab (1)-JumpAttackHitBox:10"
"C2_Stage2_10","StrongerFeverTime",22.10,25,0,481.00,8.55,56.2586,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,2,1,10.00,1.15,8.6964,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",10.00,11,6,2,6,0,"C2ElecWhipmanPrefab-LowAttackHitBox:10"
