SerialNumber,9d83e7a2726d30f13f713d5a8d5b1b9107a13e71
TotalPlayTime,2734.81
TotalDeathCount,0
TotalKilledEnemies,200
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",112.46,93,0,0.00,28.88,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,22,14,0,10,0,"C1MidBoss-RushKick:40"
"C1_Stage2_1","",43.92,42,0,683.00,14.35,47.5960,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,18,10,0,6,0,""
"C1_Stage2_2","",101.74,38,2,311.67,11.92,26.1541,13,0,1.50,9.80,0.1531,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,12,11,0,4,0,""
"C1_Stage2_3","",58.48,43,3,866.60,17.45,49.6615,8,0,129.00,3.32,38.8947,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,22,13,0,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",16.42,16,1,328.40,6.12,53.6896,2,0,3.00,0.78,3.8298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,6,6,2,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;Hinge-Hitbox:10"
"C1_Stage2_5","",45.45,48,0,710.10,16.10,44.1058,5,1,6.00,2.40,2.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,21,15,6,9,0,"FallDamageArea (1)-:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_6","",70.43,73,3,1433.70,25.85,55.4622,7,0,24.00,3.27,7.3472,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",10.00,31,25,7,10,0,"Hinge-Hitbox:10"
"C1_Stage2_7","",28.07,20,1,428.40,6.38,67.1126,2,0,3.00,1.03,2.9032,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,5,3,5,0,"Hinge-Hitbox:10"
"C1_Stage2_8","",43.95,56,1,1134.00,16.70,67.9041,2,0,3.00,1.07,2.8125,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,14,9,0,6,0,"C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Stage2_9","",38.60,10,1,200.00,4.65,43.0111,4,0,6.00,2.25,2.6667,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",0.00,5,3,0,2,0,""
"C1_Stage3_1","",168.47,94,0,0.00,30.02,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,28,25,0,14,0,""
"C1_Boss_1","ReduceDashCooltime",52.72,1,0,0.00,5.72,0.0000,9,0,120.00,5.80,20.6890,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",0.00,7,0,0,1,0,""
