SerialNumber,fdc79fcd490d39be73dbeeafe7abed047bcb5206
TotalPlayTime,2813.00
TotalDeathCount,2
TotalKilledEnemies,344
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",87.68,111,0,0.00,33.27,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,18,18,1,12,0,"C1MidBoss-TangTang 1:10;C1MidBoss-RushKick:10"
"C1_Stage2_1","",40.03,49,0,696.00,20.75,33.5423,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,30,24,8,3,0,"C1PistolMobForDashTutorial (1)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_2","",77.67,37,2,317.09,13.12,24.1744,17,0,1.65,9.62,0.1716,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",20.00,9,8,1,3,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",53.33,50,3,849.80,20.90,40.6602,12,0,143.30,0.77,186.9140,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,19,18,11,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",30.91,14,1,321.00,6.47,49.6396,15,0,190.50,4.87,39.1436,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",60.00,9,8,3,5,1,"Hinge-Hitbox:40;C1TonpaMobPrefab (2)-AttackHitbox:20"
"C1_Stage2_5","",33.42,37,1,648.40,12.43,52.1613,8,1,221.00,1.99,111.2777,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",40.00,8,8,5,2,0,"C1PistolMob (1)-AttackHitbox:10;Hinge-Hitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_6","",56.35,77,3,1386.70,23.82,58.2241,10,0,84.00,3.50,24.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",40.00,30,29,10,11,0,"C1PistolMob (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;Hinge-Hitbox:20"
"C1_Stage2_7","",26.48,20,1,409.00,8.35,48.9815,4,0,19.40,0.10,194.0473,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,6,5,1,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",41.18,55,1,1090.30,17.32,62.9632,8,0,48.00,0.92,52.3660,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,14,13,0,4,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",58.05,18,2,1555.00,13.57,114.6188,18,0,99.00,7.32,13.5308,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",40.00,16,16,0,1,0,"C1SandMecha-MeleeHitbox:30;C1SandMecha (4)-MeleeHitbox:10"
"C1_Stage3_1","",27.27,14,0,307.00,6.58,46.6326,6,1,19.50,2.65,7.3586,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,11,9,11,2,0,"FallDamageArea-:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",28.07,33,2,638.00,11.42,55.8837,8,0,156.00,1.40,111.4266,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,13,11,2,3,0,"C1PistolMob (2)-AttackHitbox:10"
"C1_Stage3_3","",27.03,40,2,740.70,14.65,50.5592,16,1,114.00,2.85,39.9995,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",0.00,13,13,1,3,0,""
"C1_Stage3_4","",64.06,0,0,0.00,0.53,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,2,0,0,0,""
"C1_Stage3_5","",6.82,0,0,0.00,0.27,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,1,0,0,0,""
"C1_Stage3_6","",63.62,51,4,1107.10,21.72,50.9787,40,1,408.00,15.77,25.8773,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",70.00,24,23,0,2,0,"C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:20;C1EliteTonpaMob-Attack:10;C1PistolMob (5)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage3_7","",45.88,17,1,483.00,7.30,66.1617,4,0,51.00,1.22,41.9175,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,11,11,16,2,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_8","",122.16,93,0,0.00,23.00,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,14,14,0,10,0,"C1MidBoss-KickKick 2:10;C1MidBoss-KickKick 1:10"
"C1_Boss_1","ReduceDashCooltime",33.77,7,0,108.00,4.90,22.0407,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,13,12,0,1,0,""
"C1_Boss_2","ReduceDashCooltime",59.97,65,4,1056.00,24.77,42.6376,28,0,403.50,6.12,65.9670,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff}",10.00,32,32,3,5,0,"C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_3","ReduceDashCooltime",33.73,43,3,676.40,18.52,36.5291,18,0,351.00,2.20,159.5401,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",0.00,27,27,0,3,0,""
"C1_Boss_4","ReduceDashCooltime",84.49,64,1,1067.00,19.47,54.8106,6,0,106.50,1.83,58.0935,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,31,30,1,5,0,""
"C1_Boss_5","ReduceDashCooltime",0.55,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_6","ReduceDashCooltime",68.26,33,3,878.40,17.87,49.1651,16,0,339.00,3.98,85.1032,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff}",70.00,33,32,0,3,1,"C1SandMecha (1)-LandingImpactHitbox:50;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1SandMecha-DashAttackHitbox:10"
"C1_Boss_7","ReduceDashCooltime",16.75,15,1,603.70,8.68,69.5258,4,0,120.30,0.45,268.3817,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,13,13,0,2,0,""
