SerialNumber,fdc79fcd490d39be73dbeeafe7abed047bcb5206
TotalPlayTime,2940.31
TotalDeathCount,14
TotalKilledEnemies,354
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",84.41,110,0,0.00,31.65,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,14,14,0,10,0,""
"C1_Stage2_1","",34.05,41,0,702.00,15.60,45.0025,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,29,29,8,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",69.10,36,2,318.14,11.97,26.5863,16,0,16.50,6.73,2.4505,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",0.00,13,13,3,4,0,""
"C1_Stage2_3","",55.28,35,2,793.80,16.15,49.1527,11,1,219.00,4.47,49.0338,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,27,27,6,5,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10"
"C1_Stage2_4","",15.98,6,0,210.70,3.77,55.9354,8,1,111.00,2.78,39.8786,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,5,4,2,2,0,"Hinge-Hitbox:10"
"C1_Stage2_5","",72.76,58,3,1127.20,19.90,56.6421,24,0,298.40,10.12,29.4951,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff}",70.00,27,25,9,15,1,"Hinge-Hitbox:50;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage2_6","",92.61,66,4,1407.40,30.68,45.8685,27,2,868.00,6.43,134.9271,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",50.00,32,31,12,12,1,"C1EliteTonpaMob (3)-Rush Attack:10;C1PistolMob (2)-AttackHitbox:10;Hinge-Hitbox:30"
"C1_Stage2_7","",25.28,21,1,389.00,9.58,40.5896,4,0,33.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,11,11,5,4,0,"Hinge-Hitbox:20"
"C1_Stage2_8","",39.13,54,0,970.70,17.17,56.5454,5,1,143.00,1.47,97.4914,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,23,22,1,7,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_9","",72.44,19,2,375.00,9.38,39.9636,17,0,27.00,7.07,3.8208,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun}",50.00,14,14,0,2,1,"C1SandMecha-MeleeHitbox:30;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
