SerialNumber,73899f86b91b061a1945cd84f85b9306f2074be2
TotalPlayTime,3944.60
TotalDeathCount,3
TotalKilledEnemies,102
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",292.74,110,0,0.00,32.07,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,12,10,8,9,0,""
"C1_Stage2_1","",75.80,63,0,676.00,21.33,31.6876,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,8,2,7,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",143.17,13,0,1.41,4.28,0.3292,50,3,319.20,52.83,6.0417,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",50.00,19,2,0,3,0,"C1EliteTonpaMobForDashTutorial-Attack:20;C1EliteTonpaMobForDashTutorial-Rush Attack:30"
"C1_Stage2_3","",123.65,23,0,279.30,9.40,29.7131,39,6,769.00,43.73,17.5840,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",60.00,14,1,2,5,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1EliteTonpaMobForDashTutorial-Attack:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_4","",42.67,19,0,191.70,7.28,26.3217,14,2,187.00,17.95,10.4177,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,9,0,2,0,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20;Hinge-Hitbox:10"
"C1_Stage2_5","",95.10,36,0,492.10,11.33,43.4218,41,4,511.00,41.82,12.2199,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",90.00,24,6,7,6,1,"Hinge-Hitbox:20;C1PistolMobForDashTutorial-AttackHitbox:30;C1EliteTonpaMob-Rush Attack:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_6","",138.05,100,0,1206.70,36.52,33.0450,35,4,705.50,19.58,36.0248,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Staff,to:Staff};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Staff,to:Staff}",170.00,31,2,12,6,1,"C1EliteTonpaMob (3)-Rush Attack:20;C1PistolMob (2)-AttackHitbox:40;Hinge-Hitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob (4)-Rush Attack:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_7","",39.39,20,0,217.00,9.12,23.8031,8,1,188.00,3.13,60.0006,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,9,0,2,1,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",58.44,57,0,1028.70,20.08,51.2199,4,1,113.00,1.43,78.8363,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",50.00,11,0,1,2,0,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_9","",72.05,9,0,89.70,4.35,20.6202,24,1,126.50,19.48,6.4930,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",70.00,5,0,2,2,1,"C1SandMecha-MeleeHitbox:70"
"C1_Stage3_1","",1.98,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
