SerialNumber,0b5268bc32c52be2778e068a2eec57d9590adbd2
TotalPlayTime,1994.99
TotalDeathCount,2
TotalKilledEnemies,112
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",403.98,126,0,0.00,52.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",120.00,67,44,3,17,1,"C1MidBoss-TangTang 1:50;C1MidBoss-RushKick:30;C1MidBoss-TangTang 2:40"
"C1_Stage2_1","",62.98,36,0,675.00,15.55,43.4091,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,15,9,2,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",210.33,9,0,1.29,3.72,0.3471,57,3,305.40,56.73,5.3831,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",30.00,26,2,0,3,0,"C1EliteTonpaMobForDashTutorial-Attack:20;C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_3","",131.24,32,0,358.40,13.13,27.2892,41,3,649.00,41.05,15.8100,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",130.00,29,7,0,6,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:50;C1EliteTonpaMobForDashTutorial-Attack:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1EliteTonpaMobForDashTutorial (1)-Attack:20;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",27.03,11,0,175.00,3.97,44.1176,8,2,196.00,11.23,17.4484,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",10.00,7,2,2,3,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_5","",264.37,23,0,352.10,8.43,41.7515,21,1,254.00,20.37,12.4716,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",100.00,23,9,5,3,0,"Hinge-Hitbox:30;C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:30;C1EliteTonpaMob (2)-Rush Attack:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_6","",60.65,38,0,656.90,15.53,42.2897,6,1,113.00,4.03,28.0166,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",50.00,26,9,9,6,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_7","",27.35,4,0,56.00,1.12,50.1478,6,0,105.00,5.73,18.3138,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",0.00,4,0,4,3,0,""
"C1_Stage2_8","",66.93,46,0,956.40,18.12,52.7907,10,2,149.00,6.48,22.9813,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",40.00,22,7,0,2,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_9","",42.97,9,0,120.00,4.68,25.6234,12,1,87.50,11.30,7.7433,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",20.00,5,1,6,1,0,"C1SandMecha-MeleeHitbox:20"
