SerialNumber,0afae54eef20a8c7eb8c9f14d0b56b106926168a
TotalPlayTime,3286.95
TotalDeathCount,15
TotalKilledEnemies,321
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",230.18,230,0,0.00,76.75,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",230.00,33,11,8,9,5,"C1MidBoss-TangTang 1:120;C1MidBoss-TangTang 2:40;C1MidBoss-RushKick:70"
"C1_Stage2_1","",53.73,47,0,683.00,13.07,52.2710,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,7,4,0,3,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",130.10,29,0,3.87,10.15,0.3813,47,3,334.20,39.00,8.5692,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,13,2,0,3,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:20"
"C1_Stage2_3","",193.48,71,0,838.40,23.40,35.8291,81,7,972.00,73.60,13.2065,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",50.00,27,13,1,15,1,"C1EliteTonpaMobForDashTutorial-Attack:20;C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",27.63,16,0,183.00,4.48,40.8178,10,2,176.00,9.88,17.8077,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,4,3,2,3,0,"Hinge-Hitbox:10"
"C1_Stage2_5","",49.15,41,0,647.10,12.35,52.3974,7,2,196.00,4.05,48.3945,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,8,8,5,6,0,"Hinge-Hitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_6","",84.68,86,0,1071.90,27.38,39.1447,17,3,375.00,6.73,55.6946,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff}",30.00,22,19,7,8,0,"C1EliteTonpaMob (3)-Rush Attack:10;Hinge-Hitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",33.35,21,0,314.00,6.43,48.8072,4,1,113.00,1.63,69.1799,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,4,3,2,3,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_8","",47.42,69,0,1052.30,18.00,58.4607,3,1,48.00,1.15,41.7382,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",10.00,8,7,0,4,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",68.55,16,1,185.00,5.23,35.3507,24,0,33.00,15.75,2.0953,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",50.00,7,2,0,1,1,"C1SandMecha-MeleeHitbox:40;C1SandMecha-DashAttackHitbox:10"
