SerialNumber,59f35f312804fb57b309b8940eef90d732062021
TotalPlayTime,2466.27
TotalDeathCount,7
TotalKilledEnemies,87
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",123.34,114,0,0.00,36.08,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,28,26,0,14,0,"C1MidBoss-TangTang 1:10;C1MidBoss-TangTang 2:20;C1MidBoss-RushKick:20"
"C1_Stage2_1","",101.58,85,0,1238.00,28.20,43.9006,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,15,7,17,4,1,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:40;C1PistolMobForDashTutorial (1)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_2","",146.99,28,0,136.74,10.78,12.6809,52,1,189.65,41.78,4.5389,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun}",60.00,16,3,2,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:50;C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",122.81,65,0,253.80,23.23,10.9241,51,3,745.50,47.50,15.6948,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",60.00,31,3,1,5,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMobForDashTutorial-Rush Attack:20;C1EliteTonpaMobForDashTutorial (1)-Attack:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage3_1","",118.26,89,0,0.00,27.18,0.0000,5,0,0.00,1.20,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,18,15,0,12,0,"C1MidBoss-KickKick 1:20"
"C1_Boss_1","ResetDashCooltimeOnWeaponChange",10.75,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,0,0,3,0,0,""
"C1_Boss_2","ResetDashCooltimeOnWeaponChange",377.47,75,1,653.10,32.07,20.3670,129,6,1122.00,94.73,11.8438,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun}",220.00,66,19,3,23,2,"C1Boss-DashAttackHitbox:40;C1Boss-MeleeAttack1Hitbox:60;C1Boss-CounterAttackHitbox:50;C1Boss-FlameThrowerMiddleHitbox:10;C1Boss-FlameThrowerMainHitbox:20;C1Boss-FlameThrowerStartHitbox:10;C1Boss-MeleeAttack3Hitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):10"
"C2_Stage2_1","StrongerFeverTime",24.53,32,0,356.00,9.67,36.8282,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,2,3,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Stage2_2","StrongerFeverTime",12.85,16,0,167.00,3.82,43.7571,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,4,1,0,""
"C2_Stage2_3","StrongerFeverTime",111.84,24,0,277.00,7.35,37.6860,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,22,0,187.50,10.95,17.1234,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",10.00,10,2,8,5,0,"C2GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C2_Stage2_4","StrongerFeverTime",1.23,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Spear,to:Spear}",0.00,0,0,0,0,0,""
"C2_Stage2_5","StrongerFeverTime",49.58,12,1,227.00,4.75,47.7895,10,0,75.00,7.85,9.5542,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,19,1,200.00,11.37,17.5955,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Spear,to:Spear};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Spear,to:Spear};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Spear,to:Spear}",30.00,13,1,9,1,0,"C2ElecWhipmanPrefabForDashTutorial-AttackHitBox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C2_Stage2_6","StrongerFeverTime",37.73,20,0,357.00,7.73,46.1627,13,0,245.00,9.78,25.0429,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,10,2,187.00,5.47,34.2073,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Spear,to:Spear};{order:5,from:Staff,to:Staff};{order:6,from:Spear,to:Spear};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Spear,to:Spear}",40.00,16,0,2,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:20;C2ElecWhipmanPrefab-LowAttackHitBox:10;Crosshair-hitbox:10"
"C2_Stage2_7","StrongerFeverTime",4.75,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun}",0.00,1,0,0,0,0,""
