SerialNumber,1509fe19549decc9f2dc12c803102067d9ad1d2a
TotalPlayTime,3162.02
TotalDeathCount,2
TotalKilledEnemies,245
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",158.74,133,0,0.00,41.43,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,21,16,0,11,1,"C1MidBoss-TangTang 1:50;C1MidBoss-TangTang 2:20;C1MidBoss-RushKick:10"
"C1_Stage2_1","",65.07,48,0,676.00,14.07,48.0565,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,2,4,3,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",142.07,60,0,166.72,18.03,9.2450,28,1,142.70,21.25,6.7153,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",60.00,15,9,1,4,0,"C1EliteTonpaMobForDashTutorial-Attack:50;C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_3","",88.08,52,0,663.40,13.95,47.5557,19,0,175.50,9.30,18.8711,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff}",30.00,9,7,1,4,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",29.00,27,0,289.40,8.17,35.4359,11,0,52.50,2.67,19.6878,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",40.00,6,5,2,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;Hinge-Hitbox:30"
"C1_Stage2_5","",59.28,67,0,795.70,20.68,38.4706,10,0,51.00,2.12,24.0941,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",40.00,9,6,6,4,0,"FallDamageArea (1)-:20;C1TonpaMobPrefab (10)-AttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_6","",165.45,105,0,1386.40,28.73,48.2515,20,0,75.00,5.05,14.8517,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff}",70.00,18,14,8,8,0,"C1GunnerMobPrefab-RangedAttackHitbox:20;Hinge-Hitbox:40;C1EliteTonpaMob (4)-Hitboxes:10"
"C1_Stage2_7","",32.13,36,0,397.10,9.03,43.9589,4,0,34.30,1.50,22.8648,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,5,3,2,4,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_8","",44.38,69,0,1107.70,16.95,65.3508,3,0,4.30,0.98,4.3726,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,10,7,0,6,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",43.72,17,1,186.80,6.10,30.6237,9,0,24.00,3.17,7.5790,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,4,3,0,1,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",30.18,22,0,329.00,7.31,45.0072,4,0,3.00,0.80,3.7498,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,2,3,1,0,"FallDamageArea-:10"
