SerialNumber,a4d28cf4907be98d5d14d23710ecc28bc8df20e9
TotalPlayTime,5367.23
TotalDeathCount,40
TotalKilledEnemies,466
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",114.47,116,0,0.00,34.55,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,19,17,0,14,0,"C1MidBoss-TangTang 1:10;C1MidBoss-TangTang 2:10"
"C1_Stage2_1","",68.93,58,0,685.00,18.28,37.4658,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,11,7,0,5,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",186.91,41,0,5.31,9.65,0.5503,87,4,581.30,72.93,7.9703,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun}",70.00,29,22,0,12,1,"C1EliteTonpaMobForDashTutorial-Rush Attack:30;C1EliteTonpaMobForDashTutorial-Attack:40"
"C1_Stage2_3","",121.99,4,0,14.00,1.50,9.3337,75,4,1022.50,60.47,16.9102,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff}",30.00,38,30,0,15,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_4","",37.72,16,0,173.80,5.00,34.7600,15,1,149.00,14.03,10.6176,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",10.00,10,6,3,3,0,"Hinge-Hitbox:10"
"C1_Stage2_5","",128.60,0,0,0.00,0.00,NaN,82,2,1045.00,62.73,16.6579,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,39,30,9,10,1,"Hinge-Hitbox:20;FallDamageArea-:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_6","",1478.55,284,0,4003.80,96.18,41.6263,762,44,13026.00,617.42,21.0975,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Staff,to:Staff};{order:29,from:Shotgun,to:Shotgun};{order:30,from:Staff,to:Staff};{order:31,from:Shotgun,to:Shotgun};{order:32,from:Staff,to:Staff}",980.00,412,284,80,156,24,"C1PistolMob (2)-AttackHitbox:120;Hinge-Hitbox:130;C1TonpaMobPrefab (21)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:110;C1EliteTonpaMob (3)-Rush Attack:140;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:240;FallDamageArea (1)-:40;FallDamageArea (3)-:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1PistolMob-AttackHitbox:50;C1EliteTonpaMob (3)-Attack:10;C1TonpaMobPrefab (11)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob (4)-Rush Attack:30;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_7","",34.30,20,0,251.40,7.62,33.0054,11,2,161.00,6.15,26.1793,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,8,8,2,4,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_8","",60.87,61,0,944.70,19.50,48.4456,11,2,176.00,7.82,22.5167,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,21,9,0,6,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_9","",75.05,4,0,4.00,1.58,2.5261,34,2,225.50,27.98,8.0584,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Shotgun,to:Shotgun}",60.00,7,4,0,2,1,"C1SandMecha-MeleeHitbox:60"
"C1_Stage3_1","",52.63,11,0,161.40,6.27,25.7536,12,2,176.00,9.52,18.4940,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,11,6,6,2,1,"FallDamageArea-:40"
