SerialNumber,a4d28cf4907be98d5d14d23710ecc28bc8df20e9
TotalPlayTime,4044.26
TotalDeathCount,40
TotalKilledEnemies,195
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",89.05,95,0,0.00,28.65,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,18,17,0,15,0,""
"C1_Stage2_1","",60.36,50,0,685.00,16.47,41.5986,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,14,4,0,4,1,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",41.25,22,0,165.74,6.25,26.5184,27,2,142.25,20.60,6.9054,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,10,6,0,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage3_1","",140.61,119,0,0.00,38.37,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,37,31,0,19,1,"C1MidBoss-Room Center TangTang 2:20;C1MidBoss-RushKick:10;C1MidBoss-KickKick 2:20"
"C1_Boss_1","ResetDashCooltimeOnWeaponChange",2.37,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_2","ResetDashCooltimeOnWeaponChange",256.18,104,2,1099.50,37.33,29.4510,59,4,481.30,39.73,12.1133,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff}",20.00,46,8,0,10,0,"C1Boss-DashAttackHitbox:10;C1Boss-MeleeAttack2Hitbox :10"
"C2_Stage2_1","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",19.87,30,0,342.00,9.08,37.6512,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,8,4,0,3,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Stage2_2","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",14.83,14,0,174.00,3.70,47.0261,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,2,0,0,0,""
"C2_Stage2_3","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",111.69,23,0,265.00,9.00,29.4437,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,22,0,157.50,12.47,12.6336,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",0.00,17,3,0,4,0,""
"C2_Stage2_4","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",2.41,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C2_Stage2_5","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",37.18,32,0,314.50,12.63,24.8943,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,16,1,177.00,7.28,24.3029,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear}",10.00,17,4,0,6,0,"C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Stage2_6","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",58.23,41,0,709.00,12.68,55.9017,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,37,1,90.00,14.87,6.0538,"{order:1,from:Staff,to:Staff};{order:2,from:Spear,to:Spear};{order:3,from:Staff,to:Staff}",40.00,16,3,0,5,1,"Crosshair-hitbox:20;Player-슈아2 감전 스택 폭발:10;C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Stage2_7","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",33.82,39,0,568.00,12.43,45.6867,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,17,2,200.00,7.92,25.2602,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff}",20.00,14,2,0,7,0,"Player-슈아2 감전 스택 폭발:10;Crosshair-hitbox:10"
"C2_Stage2_8","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",101.28,97,0,1467.50,36.20,40.5376,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,37,4,575.00,16.88,34.0590,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Spear,to:Spear};{order:7,from:Staff,to:Staff};{order:8,from:Spear,to:Spear};{order:9,from:Staff,to:Staff};{order:10,from:Spear,to:Spear};{order:11,from:Staff,to:Staff}",50.00,43,8,0,11,1,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2ElecWhipmanPrefab-AttackBrokenHitBox:10;C2ElecWhipmanPrefab-AttackHitBox:10"
"C2_Stage2_9","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",117.29,62,1,1115.50,26.65,41.8574,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,65,6,790.00,30.93,25.5427,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff};{order:7,from:Spear,to:Spear};{order:8,from:Spear,to:Spear};{order:9,from:Staff,to:Staff};{order:10,from:Spear,to:Spear};{order:11,from:Spear,to:Spear};{order:12,from:Staff,to:Staff};{order:13,from:Spear,to:Spear};{order:14,from:Staff,to:Staff};{order:15,from:Spear,to:Spear};{order:16,from:Staff,to:Staff};{order:17,from:Spear,to:Spear};{order:18,from:Staff,to:Staff}",90.00,46,1,0,11,2,"C2EliteMobPrefab (1)-JumpAttackHitBox:10;C2ElecWhipmanPrefab (1)-LowAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;Player-슈아2 감전 스택 폭발:30;C2ElecWhipmanPrefab (1)-AttackHitBox:10;C2ElecWhipmanPrefab-AttackHitBox:20;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0"
"C2_Stage2_10","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",21.95,24,0,409.50,9.45,43.3330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,7,1,85.00,3.45,24.6372,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff}",10.00,11,0,2,4,0,"C2ElecWhipmanPrefab-AttackHitBox:10"
"C2_Stage2_11","ResetDashCooltimeOnWeaponChange,ReduceDashCooltime",122.49,94,0,1708.50,41.08,41.5864,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,53,8,794.50,25.75,30.8545,"{order:1,from:Spear,to:Spear};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff};{order:5,from:Spear,to:Spear};{order:6,from:Staff,to:Staff};{order:7,from:Spear,to:Spear};{order:8,from:Staff,to:Staff};{order:9,from:Spear,to:Spear};{order:10,from:Staff,to:Staff};{order:11,from:Spear,to:Spear};{order:12,from:Staff,to:Staff};{order:13,from:Spear,to:Spear};{order:14,from:Staff,to:Staff};{order:15,from:Spear,to:Spear};{order:16,from:Staff,to:Staff};{order:17,from:Spear,to:Spear};{order:18,from:Staff,to:Staff};{order:19,from:Spear,to:Spear};{order:20,from:Staff,to:Staff}",90.00,56,3,10,11,2,"C2EliteMobPrefab (1)-RushAttackHitBox:10;C2TonpaManPrefab (3)-MeleeAttackHitbox:10;C2EliteMobPrefab (2)-JumpAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:20;Crosshair-hitbox:10;Player-슈아2 감전 스택 폭발:10;FallDamageArea-:10;C2ElecWhipmanPrefab-AttackHitBox:10"
