SerialNumber,7a78104ef49e969823e07ff764390af32f01b6c5
TotalPlayTime,891.71
TotalDeathCount,1
TotalKilledEnemies,92
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",116.94,93,0,0.00,28.25,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,21,16,0,10,0,""
"C1_Stage2_1","",68.93,45,0,690.00,16.95,40.7080,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,22,3,0,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",88.26,30,1,184.07,9.35,19.6866,17,1,126.50,12.25,10.3265,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,11,3,0,3,0,"C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",57.74,40,2,940.40,15.87,59.2688,5,1,84.00,1.85,45.4045,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,14,5,0,3,0,""
"C1_Stage2_4","",15.25,20,1,332.30,6.85,48.5107,2,0,3.00,1.15,2.6086,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,9,7,2,3,0,""
"C1_Stage2_5","",36.17,38,2,708.00,11.55,61.2997,5,0,6.00,2.58,2.3226,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",20.00,11,8,6,4,0,"C1PistolMob (1)-AttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_6","",61.38,60,2,1316.10,21.95,59.9590,8,1,174.00,3.60,48.3328,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff}",30.00,22,12,7,5,0,"C1PistolMob-AttackHitbox:10;Hinge-Hitbox:20"
"C1_Stage2_7","",25.90,22,0,410.00,8.23,49.7972,2,1,3.00,0.93,3.2142,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,9,6,2,3,0,"Hinge-Hitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_8","",46.48,71,1,1147.50,23.30,49.2491,2,0,3.00,0.80,3.7501,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,24,10,0,6,0,""
"C1_Stage2_9","",40.72,15,1,200.00,6.77,29.5572,6,0,10.50,3.57,2.9439,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",0.00,8,5,0,1,0,""
"C1_Stage3_1","",12.38,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,1,""
