SerialNumber,7a78104ef49e969823e07ff764390af32f01b6c5
TotalPlayTime,4722.03
TotalDeathCount,0
TotalKilledEnemies,285
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",164.56,105,0,0.00,32.00,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,22,19,0,8,0,"C1MidBoss-TangTang 1:10;C1MidBoss-RushKick:10"
"C1_Stage2_1","",61.25,43,0,690.00,18.87,36.5721,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,26,4,0,6,0,""
"C1_Stage2_2","",118.32,33,1,230.07,11.70,19.6644,13,1,81.50,9.75,8.3589,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,12,7,0,3,0,""
"C1_Stage2_3","",64.76,50,1,948.80,22.70,41.7972,9,2,54.00,3.85,14.0256,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,26,8,1,5,0,"C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_4","",15.72,17,1,304.80,6.80,44.8224,3,0,18.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,7,7,2,2,0,""
"C1_Stage2_5","",43.40,50,1,688.00,17.75,38.7603,3,0,4.50,1.78,2.5234,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun}",30.00,18,7,6,7,0,"C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;FallDamageArea (1)-:10"
"C1_Stage2_6","",70.88,72,2,1056.00,25.78,40.9567,14,0,282.00,8.23,34.2518,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff}",10.00,34,12,7,12,0,"FallDamageArea (3)-:10"
"C1_Stage2_7","",27.62,19,0,414.00,8.13,50.9026,3,1,18.00,1.37,13.1704,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,11,4,3,4,0,"FallDamageArea (4)-:10"
"C1_Stage2_8","",50.73,46,1,900.80,17.90,50.3243,13,0,258.00,6.53,39.4884,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,20,9,0,7,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage2_9","",52.93,11,5,1607.00,8.52,188.6876,9,0,48.00,5.23,9.1716,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,10,6,0,2,0,"C1SandMecha-DashAttackHitbox:10;C1SandMecha (2)-MeleeHitbox:10"
"C1_Stage3_1","",22.82,15,1,317.70,5.78,54.9338,2,0,3.00,0.63,4.7371,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,6,1,3,1,0,"C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_2","",41.25,33,1,648.70,14.68,44.1778,5,0,3.00,0.90,3.3337,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,19,6,6,4,0,"FallDamageArea (1)-:10"
"C1_Stage3_3","",29.63,38,2,810.70,12.37,65.5544,6,1,54.00,1.68,32.0789,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",0.00,10,6,0,3,0,""
"C1_Stage3_4","",155.14,115,0,0.00,34.51,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,29,28,0,13,0,"C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 2:10;C1MidBoss-Room Center TangTang 2:10"
"C1_Boss_1","ReduceDashCooltime",39.42,6,0,114.00,5.23,21.7852,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,1,0,1,0,""
"C1_Boss_2","ReduceDashCooltime",65.28,87,3,1254.00,32.47,38.6244,10,1,202.50,1.12,181.3777,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,23,12,0,3,0,"C1EliteTonpaMob-Rush Attack:20"
"C1_Boss_3","ReduceDashCooltime",56.77,43,2,677.10,21.22,31.9130,14,1,365.90,2.60,140.7255,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",30.00,15,11,0,5,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1EliteTonpaMob (2)-Attack:10;C1TonpaMobPrefab (14)-AttackHitbox:10"
"C1_Boss_4","ReduceDashCooltime",87.59,73,0,1065.30,25.20,42.2743,2,1,111.50,0.62,180.8013,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,32,13,1,7,0,"C1PistolMob (3)-AttackHitbox:10"
