SerialNumber,d2a4728af5ae3fdafcfac55d06148f85b2faa6d5
TotalPlayTime,2803.89
TotalDeathCount,1
TotalKilledEnemies,149
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",352.94,122,0,0.00,46.55,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,39,22,15,13,0,"C1MidBoss-TangTang 1:30;C1MidBoss-TangTang 2:20;C1MidBoss-RushKick:10"
"C1_Stage2_1","",62.78,47,0,672.00,16.50,40.7276,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,11,4,4,4,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",259.92,15,0,1.94,4.53,0.4280,29,3,317.25,32.70,9.7017,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,15,13,0,4,0,"C1EliteTonpaMobForDashTutorial-Attack:20"
"C1_Stage2_3","",180.19,31,0,230.40,13.87,16.6152,36,6,871.00,40.23,21.6485,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",40.00,22,21,11,11,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMobForDashTutorial-Attack:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",28.63,9,0,166.00,2.87,57.9063,10,2,176.00,12.32,14.2896,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",20.00,7,6,3,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;Hinge-Hitbox:10"
"C1_Stage2_5","",85.32,7,0,44.80,4.45,10.0670,40,4,871.50,40.05,21.7603,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",60.00,26,25,5,10,0,"Hinge-Hitbox:20;C1EliteTonpaMob (2)-Rush Attack:20;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage2_6","",115.93,7,0,166.80,1.57,106.4609,62,6,1390.50,61.90,22.4636,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff}",40.00,26,26,8,7,0,"C1EliteTonpaMob (3)-Rush Attack:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;Hinge-Hitbox:10"
"C1_Stage2_7","",45.75,7,0,93.00,2.50,37.1982,18,2,326.00,20.20,16.1388,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,8,5,3,7,0,""
"C1_Stage2_8","",54.22,57,0,1027.70,18.57,55.3538,6,1,113.00,2.43,46.4381,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,12,11,1,5,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_9","",121.86,27,1,275.40,12.35,22.3003,23,1,138.50,19.85,6.9774,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff}",100.00,12,6,2,3,1,"C1SandMecha-MeleeHitbox:40;C1SandMecha (1)-LandingImpactHitbox:50;C1SandMecha-DashAttackHitbox:10"
