SerialNumber,44063aa2b6418c354a71e7d1a908dd2f71c50292
TotalPlayTime,1276.79
TotalDeathCount,0
TotalKilledEnemies,128
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",98.61,102,0,0.00,32.15,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,24,20,0,8,0,"C1MidBoss-RushKick:20"
"C1_Stage2_1","",44.07,40,0,694.00,13.92,49.8683,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,17,3,0,5,0,""
"C1_Stage2_2","",99.42,36,1,323.47,11.32,28.5835,13,1,1.65,8.27,0.1996,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,10,5,0,1,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_3","",56.66,53,2,854.60,19.12,44.7047,8,1,119.00,3.47,34.3268,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,15,7,0,5,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_4","",15.87,20,1,327.60,7.72,42.4529,2,0,3.00,0.78,3.8298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,11,5,2,4,0,"Hinge-Hitbox:30"
"C1_Stage2_5","",36.83,45,1,836.10,15.87,52.6957,4,1,6.00,1.62,3.7111,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,15,12,6,7,0,"Hinge-Hitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_6","",62.07,75,2,1294.50,23.47,55.1633,13,1,194.00,8.43,23.0039,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",20.00,33,18,5,11,0,"Hinge-Hitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",24.87,23,1,429.00,10.08,42.5458,3,0,3.00,1.42,2.1177,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,13,4,2,4,0,""
"C1_Stage2_8","",39.90,60,1,1124.10,23.00,48.8738,5,0,18.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,25,8,0,5,0,""
"C1_Stage2_9","",56.05,11,3,574.00,7.62,75.3619,12,3,1272.00,12.60,100.9521,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,16,5,0,4,0,"C1SandMecha-DashAttackHitbox:10;C1SandMecha (5)-DashAttackHitbox:10"
"C1_Stage3_1","",111.18,88,0,0.00,27.00,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,24,22,0,9,0,"C1MidBoss-KickKick 1:10;C1MidBoss-Room Center TangTang 2:10"
"C1_Boss_1","ReduceDashCooltime",37.72,9,0,121.00,7.08,17.0817,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,12,0,0,1,0,""
"C1_Boss_2","ReduceDashCooltime",61.87,84,2,1291.10,31.07,41.5590,13,2,157.50,4.72,33.3922,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",10.00,34,10,0,6,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Boss_3","ReduceDashCooltime",157.13,73,5,1258.70,26.62,47.2870,25,0,115.50,15.02,7.6914,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",10.00,35,20,0,13,0,"C1Boss-FlameThrowerStartHitbox:10"
