SerialNumber,b3904d7be87083a1816cec73f795c21a9b46702e
TotalPlayTime,3163.50
TotalDeathCount,21
TotalKilledEnemies,212
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",105.33,99,0,0.00,31.58,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,22,16,0,10,0,"C1MidBoss-RushKick:20"
"C1_Stage2_1","",46.00,52,0,672.00,19.42,34.6094,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,15,4,4,3,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",81.56,30,0,162.27,10.25,15.8312,16,2,141.65,8.82,16.0663,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,6,3,1,3,0,"C1EliteTonpaMobForDashTutorial-Attack:20;C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_3","",58.51,16,0,201.00,10.42,19.2974,24,3,827.00,7.42,111.4961,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun}",30.00,11,4,0,4,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1EliteTonpaMobForDashTutorial (1)-Attack:10"
"C1_Stage2_4","",15.40,7,0,102.60,4.60,22.3045,9,1,233.00,3.18,73.1948,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun}",10.00,6,2,2,2,0,"Hinge-Hitbox:10"
"C1_Stage2_5","",34.98,18,0,207.00,10.88,19.0199,13,2,416.00,4.57,91.0928,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff}",30.00,16,6,6,8,0,"C1EliteTonpaMob (2)-Rush Attack:10;Hinge-Hitbox:20"
"C1_Stage2_6","",231.27,141,2,2351.60,61.24,38.4026,78,7,2180.40,39.08,55.7920,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Staff,to:Staff};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Staff,to:Staff};{order:21,from:Shotgun,to:Shotgun};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Staff,to:Staff};{order:29,from:Shotgun,to:Shotgun};{order:30,from:Staff,to:Staff}",170.00,85,17,20,23,4,"C1EliteTonpaMob (3)-Rush Attack:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1PistolMob (2)-AttackHitbox:50;Hinge-Hitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:20;FallDamageArea (1)-:10;C1TonpaMobPrefab (11)-AttackHitbox:10;C1EliteTonpaMob (4)-Attack:10"
"C1_Stage2_7","",26.45,17,0,360.00,7.12,50.5857,4,1,63.00,1.77,35.6605,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,7,2,2,3,0,""
"C1_Stage2_8","",45.05,63,0,1072.80,20.40,52.5885,5,1,63.00,1.53,41.0872,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,17,5,0,6,0,""
"C1_Stage2_9","",76.39,12,0,124.10,8.68,14.2965,19,1,92.00,8.37,10.9921,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun}",120.00,15,3,0,1,2,"C1SandMecha-MeleeHitbox:50;C1SandMecha-DashAttackHitbox:20;C1SandMecha-LandingImpactHitbox:50"
"C1_Stage3_1","",21.70,17,0,195.00,6.33,30.7893,4,1,113.00,1.23,91.6259,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun}",10.00,8,2,2,2,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",37.27,33,0,652.60,12.05,54.1597,12,2,171.00,3.97,43.1092,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff}",30.00,12,4,2,3,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1EliteTonpaMob (2)-Attack:10;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage3_3","",30.22,41,0,534.40,13.55,39.4390,14,3,319.00,5.30,60.1881,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",10.00,11,5,0,6,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage3_4","",47.31,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",6.80,0,0,0.00,0.27,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun}",0.00,1,1,0,0,0,""
"C1_Stage3_6","",59.07,67,0,923.50,24.61,37.5262,29,5,604.00,8.79,68.7065,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff}",20.00,21,7,0,7,0,"C1PistolMob (5)-AttackHitbox:10;C1EliteTonpaMob (3)-Rush Attack:10"
"C1_Stage3_7","",49.92,18,0,211.40,6.53,32.3566,10,2,374.00,3.93,95.0873,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,6,1,7,2,0,"C1EliteTonpaMob (1)-Rush Attack:10"
