SerialNumber,6828f813b61f75280227827949c573f3d408e7d4
TotalPlayTime,1621.94
TotalDeathCount,4
TotalKilledEnemies,100
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",139.89,53,1,94.00,23.92,3.9303,2,1,0.00,3.10,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,4,0,2,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",63.34,36,0,528.00,15.57,33.9187,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,10,2,4,1,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",75.04,18,0,237.00,8.42,28.1585,10,1,95.38,10.02,9.5216,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,7,0,0,0,0,"C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10"
"C1_Boss_4","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",29.85,26,1,462.00,11.80,39.1520,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,0,2,0,0,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_5","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",74.50,22,2,377.00,11.23,33.5610,10,4,191.25,13.15,14.5436,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,10,0,0,1,0,"C1SandMecha (1)-MeleeHitbox:10;C1SandMecha-MeleeHitbox:10;C1SandMecha (1)-DashAttackHitbox:10"
"C1_Boss_6","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",21.80,15,1,335.00,7.78,43.0411,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,1,1,0,""
"C1_Boss_7","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",262.83,69,9,820.80,38.52,21.3103,3,0,3.00,2.67,1.1250,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,23,0,3,7,0,"C1Boss-DashAttackHitbox:30;C1Boss-MeleeAttack3Hitbox:10;C1Boss-CounterAttackHitbox:20"
"C2_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",48.50,30,1,171.00,13.70,12.4834,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,4,1,8,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",105.98,50,4,704.00,28.08,25.0681,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,11,7,26,4,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10"
"C2_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",192.90,8,0,28.00,4.20,6.6669,11,0,135.00,7.48,18.0402,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,4,2,10,2,0,"C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_4","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",17.68,7,2,217.00,5.20,41.7292,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,3,0,0,""
"C2_Boss_5","MaxHPBuff,ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff",345.53,172,28,2125.75,105.33,20.1811,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",360.00,73,0,28,12,4,"C2Boss-Drillshot-Swing:40;C2Boss-Drillshot-Gun1:30;C2Boss-Jumpshot:80;C2Boss-Kickshot-Kick:130;FX_Explosion-Hitbox:60;C2Boss-Lineshot:20"
