SerialNumber,db69a226f4d016ba86fa79795355fde3e165a5be
TotalPlayTime,1387.84
TotalDeathCount,4
TotalKilledEnemies,105
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",103.15,27,1,80.00,12.75,6.2745,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,0,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",86.16,12,0,173.00,5.10,33.9217,24,1,478.13,24.12,19.8255,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",30.00,8,3,0,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",80.24,11,1,154.00,6.57,23.4521,27,0,177.00,21.05,8.4086,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",30.00,5,2,0,0,0,"C1SandMecha-MeleeHitbox:30"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",33.91,40,1,479.00,17.07,28.0665,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,3,0,1,0,0,"C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",69.54,32,0,453.00,13.03,34.7569,11,1,115.94,9.95,11.6520,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,5,1,0,0,0,"C1SandMecha (1)-MeleeHitbox:20;C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",23.69,16,1,324.00,7.30,44.3833,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,3,0,0,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",341.39,84,13,1384.40,39.42,35.1222,140,12,343.34,83.75,4.0996,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",190.00,19,6,1,8,3,"C1Boss-MeleeAttack3Hitbox:20;C1Boss-CounterAttackHitbox:40;C1Boss-FlameThrowerMiddleHitbox:20;C1Boss-FlameThrowerStartHitbox:20;C1Boss-FlameThrowerMainHitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-MeleeAttack1Hitbox:20;C1Boss-DashAttackHitbox:10;C1Boss-MeleeAttack2Hitbox :10;C1TonpaMobPrefab(Clone)-AttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",44.34,13,1,165.00,6.31,26.1401,12,0,45.00,8.80,5.1135,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",20.00,3,1,0,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",108.33,77,3,613.00,34.90,17.5646,6,0,30.00,4.95,6.0607,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",50.00,14,5,6,3,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2ShieldMobPrefab (1)-ShieldAttackHitbox:20;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",48.46,10,1,160.00,5.68,28.1536,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,1,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
