SerialNumber,1f75a84889e6f4a49014a3d4508d144b0112ba7c
TotalPlayTime,1346.34
TotalDeathCount,2
TotalKilledEnemies,104
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",90.38,18,1,90.00,9.77,9.2150,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,2,0,1,1,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",75.98,39,1,539.00,16.73,32.2111,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,9,1,0,0,0,"C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",90.98,21,0,202.00,9.95,20.3017,15,0,118.00,15.83,7.4527,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",60.00,7,3,0,0,0,"C1SandMecha-MeleeHitbox:50;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",29.23,23,2,442.00,12.70,34.8033,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,0,2,0,0,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",139.53,54,2,914.70,26.43,34.6042,20,0,72.00,17.88,4.0261,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",80.00,18,3,0,3,1,"C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:20;C1SandMecha-DashAttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",20.97,18,0,304.00,8.15,37.3005,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,0,2,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",209.36,103,13,833.90,52.07,16.0160,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,20,3,0,6,0,"C1Boss-MeleeAttack2Hitbox :20;C1Boss-DashAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",45.43,23,0,181.00,11.34,15.9676,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,5,0,1,0,""
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",118.92,69,2,645.00,34.47,18.7136,1,0,0.00,0.53,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,21,11,5,4,0,"C2GunnerMobPrefab-RangedAttackHitbox:20;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",54.88,25,0,173.00,11.45,15.1091,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,5,1,2,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",20.60,23,0,198.00,9.60,20.6245,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,8,2,0,1,0,""
"C2_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",164.23,106,12,682.75,56.72,12.0379,0,1,89.38,1.47,60.9372,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",120.00,32,13,0,7,1,"C2Boss-Kickshot-Kick:30;C2Boss-Drillshot-Swing:20;C2Boss-Lineshot:10;C2Boss-Kickshot-Gun:20;FX_Explosion-Hitbox:30;C2Boss-Jumpshot:10"
