SerialNumber,7eb560e4d2a77bf1618bfe79c95e138434e96c4c
TotalPlayTime,2949.17
TotalDeathCount,13
TotalKilledEnemies,98
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",77.23,4,0,0.00,1.83,0.0000,15,1,90.00,15.12,5.9537,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",0.00,1,0,0,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",109.35,0,0,0.00,0.00,NaN,40,0,525.00,41.73,12.5797,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,11,1,0,5,0,""
"C1_Boss_3","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",90.65,0,0,0.00,0.00,NaN,27,1,320.38,28.55,11.2216,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,10,0,0,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",83.03,0,0,0.00,0.00,NaN,28,0,435.00,28.67,15.1745,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,8,0,5,1,0,"FallDamageArea-:20;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",131.87,0,0,0.00,0.00,NaN,57,3,645.75,56.27,11.4766,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,20,0,0,1,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:40"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",46.15,0,0,0.00,0.00,NaN,21,0,315.00,23.55,13.3758,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,0,0,2,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",466.52,3,0,0.40,1.03,0.3871,216,34,2332.13,243.88,9.5625,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",150.00,36,0,0,9,2,"C1Boss-CounterAttackHitbox:50;C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-FlameThrowerStartHitbox:20;C1Boss-FlameThrowerMainHitbox:20;C1Boss-MeleeAttack1Hitbox:10;C1Boss-MeleeAttack3Hitbox:10;C1Boss-MeleeAttack2Hitbox :10;C1Boss-FlameThrowerMiddleHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",98.08,13,0,99.00,7.58,13.0536,22,0,105.00,22.95,4.5752,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",30.00,21,16,0,3,0,"C2ShieldMobPrefab-ShieldAttackHitbox:30"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",248.12,0,0,0.00,0.00,NaN,49,5,688.13,55.40,12.4212,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,30,23,15,7,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",137.85,0,0,0.00,0.00,NaN,10,2,254.38,12.70,20.0296,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,2,4,0,0,"C2EliteMobPrefab-RushAttackHitBox:10"
