SerialNumber,eedd184e97359eb390d2eebdc2247424d3418c55
TotalPlayTime,2453.50
TotalDeathCount,16
TotalKilledEnemies,130
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",112.88,30,1,0.00,17.68,0.0000,10,1,90.00,12.68,7.0960,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",0.00,10,0,1,0,0,""
"C1_Boss_2","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",95.18,3,0,20.00,1.28,15.5845,36,3,581.88,38.60,15.0745,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",30.00,32,3,2,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_3","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",134.97,14,0,114.00,6.85,16.6424,45,0,327.00,36.37,8.9917,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",60.00,31,4,0,5,1,"C1SandMecha-MeleeHitbox:50;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_4","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",48.27,0,0,0.00,0.00,NaN,28,2,748.13,27.78,26.9271,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,16,0,1,1,0,""
"C1_Boss_5","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",113.48,0,0,0.00,0.00,NaN,41,5,647.44,45.03,14.3769,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,25,0,3,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",31.85,0,0,0.00,0.00,NaN,16,0,315.00,15.58,20.2139,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,10,0,0,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_7","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",302.25,0,0,0.00,0.00,NaN,81,13,1269.19,95.45,13.2969,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,28,0,23,8,1,"C1Boss-DashAttackHitbox:50;C1CannonExplode(Clone)-C1CannonExplode(Clone):30;C1Boss-FlameThrowerStartHitbox:10"
"C2_Boss_1","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",72.67,0,0,0.00,0.27,0.0000,24,0,210.00,26.25,7.9991,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",10.00,20,3,11,0,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",340.05,91,10,1600.75,94.65,16.9123,72,7,865.63,81.00,10.6867,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",260.00,100,15,30,8,5,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:30;C2GunnerMobPrefab-RangedAttackHitbox:100;C2ShieldMobPrefab-ShieldAttackHitbox:30;C2GunnerMobPrefab (2)-RangedAttackHitbox:40;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2EliteMobPrefab-JumpAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:10;C2BombMobPrefab (1)-ExplosionHitBox:20"
"C2_Boss_3","ExtraDash1,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,BaseMoveSpeedBuff",61.35,0,0,0.00,0.00,NaN,6,1,164.38,7.42,22.1627,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,12,0,0,""
