SerialNumber,7b14014421aa59c79316d327031003ec9e45d6ec
TotalPlayTime,6231.43
TotalDeathCount,4
TotalKilledEnemies,95
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",142.67,76,1,18.00,29.32,0.6140,44,8,75.00,34.58,2.1687,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff}",0.00,17,0,1,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",59.40,33,0,279.00,12.68,21.9974,13,2,350.50,10.57,33.1704,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",20.00,19,1,1,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",62.92,26,1,189.00,9.98,18.9313,15,1,186.00,12.22,15.2250,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",10.00,14,2,1,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",40.70,14,4,322.00,12.28,26.2140,5,2,386.88,4.55,85.0254,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,19,0,4,0,0,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",73.45,33,1,452.50,15.13,29.9006,16,2,154.98,11.18,13.8582,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,20,2,8,2,0,"C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",49.37,21,1,212.00,11.62,18.2497,6,2,208.75,7.37,28.3372,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,16,4,12,2,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",5038.43,192,20,1191.90,107.13,11.1257,102,17,784.59,81.63,9.6110,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff}",230.00,124,1,55,14,3,"C1Boss-MeleeAttack1Hitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):40;C1Boss-DashAttackHitbox:90;C1Boss-CounterAttackHitbox:20;C1Boss-FlameThrowerStartHitbox:10;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-MeleeAttack3Hitbox:10;C1Boss-FlameThrowerMiddleHitbox:10;C1Boss-MeleeAttack2Hitbox :30"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",68.37,18,2,107.00,12.89,8.2993,6,1,89.38,8.47,10.5572,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,20,3,7,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",108.02,54,3,545.00,28.70,18.9897,7,2,149.38,9.97,14.9880,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,34,6,15,2,0,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",46.37,10,1,94.00,4.58,20.5127,2,1,59.38,2.90,20.4714,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,5,1,31,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
