SerialNumber,7b14014421aa59c79316d327031003ec9e45d6ec
TotalPlayTime,1009.48
TotalDeathCount,1
TotalKilledEnemies,91
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",74.07,44,2,80.00,18.65,4.2897,10,0,0.00,7.32,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,4,0,0,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",45.67,27,1,415.00,12.38,33.5155,6,0,135.00,3.62,37.3319,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,14,1,0,1,0,""
"C1_Boss_3","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",57.73,18,0,129.00,7.78,16.5731,21,0,186.00,14.42,12.9010,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",20.00,13,0,0,1,0,"C1SandMecha-MeleeHitbox:20"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",30.48,31,0,406.00,11.60,34.9982,5,0,115.00,3.25,35.3899,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,13,0,2,0,0,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",57.05,20,0,271.00,8.30,32.6514,11,3,318.69,10.52,30.3033,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,10,0,1,1,0,""
"C1_Boss_6","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",22.98,11,0,121.00,5.43,22.2709,5,1,255.00,4.13,61.6940,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,6,0,0,0,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",167.54,52,8,463.00,27.68,16.7247,23,4,239.25,18.67,12.8164,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",20.00,19,0,2,6,0,"C1Boss-DashAttackHitbox:10;C1Boss-MeleeAttack3Hitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",41.73,29,1,183.00,13.77,13.2897,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,10,8,1,3,0,""
"C2_Boss_2","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",51.53,36,4,679.00,20.02,33.9243,2,1,39.38,1.57,25.1372,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,18,8,4,5,0,"C2EliteMobPrefab-JumpAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",43.07,25,0,160.00,11.35,14.0968,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,14,3,9,4,0,""
"C2_Boss_4","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",20.10,20,1,223.00,10.37,21.5122,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,1,1,1,0,""
"C2_Boss_5","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",153.70,61,11,823.75,32.48,25.3584,8,1,100.63,6.73,14.9442,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",90.00,24,1,0,5,1,"C2Boss-Lineshot:10;C2Boss-Kickshot-Gun:10;C2Boss-Jumpshot:10;C2Boss-Drillshot-Gun1:10;FX_Explosion-Hitbox:20;C2Boss-Drillshot-Swing:30"
