SerialNumber,3a8d06a42e1688d95394cd0edeae7b6dd347aab9
TotalPlayTime,1230.49
TotalDeathCount,2
TotalKilledEnemies,102
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",103.44,25,1,0.00,13.85,0.0000,7,1,178.75,7.85,22.7706,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,6,0,1,0,0,""
"C1_Boss_2","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",53.23,35,2,543.00,16.60,32.7106,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,9,1,0,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Boss_3","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",81.94,30,1,221.00,14.80,14.9325,7,1,140.38,9.10,15.4260,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,12,4,0,3,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",27.79,27,1,462.00,12.37,37.3588,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,11,0,6,2,0,""
"C1_Boss_5","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",120.31,28,2,437.00,14.50,30.1379,38,2,673.56,28.55,23.5924,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun}",60.00,30,1,4,2,1,"C1TonpaMobPrefab (8)-AttackHitbox:10;C1SandMecha (1)-MeleeHitbox:30;C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_6","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",21.19,16,1,299.00,8.22,36.3891,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,8,0,8,0,0,"C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Boss_7","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",171.94,51,8,711.50,29.13,24.4222,2,0,1.50,2.15,0.6977,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,14,0,1,2,0,"C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-MeleeAttack2Hitbox :10;C1Boss-DashAttackHitbox:20"
"C2_Boss_1","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",42.26,25,0,208.00,12.32,16.8793,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,3,6,2,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",83.16,50,4,705.00,26.17,26.9428,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,20,11,19,4,0,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",47.54,14,1,150.00,7.23,20.7364,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,8,0,17,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2BombMobPrefab-ExplosionHitBox:20"
