SerialNumber,02451c6c4116db32c6749511ba7b418259b93aba
TotalPlayTime,2018.78
TotalDeathCount,8
TotalKilledEnemies,123
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",62.80,7,0,89.00,4.52,19.7050,8,1,0.00,7.88,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,5,0,1,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",49.50,43,0,523.00,18.78,27.8439,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,14,2,0,1,0,"C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",65.72,16,0,181.00,7.67,23.6087,14,0,126.00,11.43,11.0205,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,8,0,0,0,0,"C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",27.72,35,0,509.00,14.60,34.8632,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,9,0,3,0,0,"C1TonpaMobPrefab (8)-AttackHitbox:10;C1GunnerMobPrefab (6)-RangedAttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",68.28,33,1,434.50,15.38,28.2448,10,1,115.75,8.97,12.9090,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,20,0,1,1,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",20.62,22,0,310.00,9.85,31.4718,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,9,0,0,1,0,"C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",153.13,35,6,830.00,20.70,40.0965,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,14,0,9,0,0,"C1Boss-DashAttackHitbox:20;C1Boss-CounterAttackHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",78.05,25,2,196.00,16.44,11.9242,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,13,4,18,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",308.90,132,13,1752.00,84.08,20.8365,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",200.00,59,0,50,0,2,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:20;C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2BombMobPrefab (2)-ExplosionHitBox:20;C2EliteMobPrefab-RushAttackHitBox:30;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:50;C2EliteMobPrefab-JumpAttackHitBox:30;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2ShieldMobPrefab-ShieldAttackHitbox:30"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",72.82,15,1,180.00,6.90,26.0869,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,4,0,15,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",19.92,19,1,218.00,7.85,27.7699,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,1,0,2,0,0,"C2EliteMobPrefab-JumpAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2EliteMobPrefab (1)-RushAttackHitBox:10"
"C2_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",706.09,383,45,2459.50,200.65,12.2576,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",550.00,59,0,75,11,6,"C2Boss-Kickshot-Kick:160;C2Boss-Drillshot-Swing:100;C2Boss-Jumpshot:70;C2Boss-Lineshot:90;C2Boss-Drillshot-Gun2:10;C2Boss-Kickshot-Gun:50;C2Boss-Drillshot-Gun1:40;FX_Explosion-Hitbox:30"
