SerialNumber,75e5847aab45b4429967f7f0d0b2e41f786e6ba7
TotalPlayTime,4090.50
TotalDeathCount,30
TotalKilledEnemies,108
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",577.43,4,0,0.00,2.42,0.0000,17,1,90.00,17.65,5.0992,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",0.00,1,0,2,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",94.17,12,0,146.00,6.67,21.8995,21,1,488.75,20.43,23.9194,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",40.00,7,1,4,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",183.17,3,0,21.00,1.50,14.0000,24,4,498.56,29.52,16.8909,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",60.00,8,0,2,0,1,"C1SandMecha-MeleeHitbox:50;C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",60.64,7,0,90.00,4.35,20.6898,16,1,300.00,16.40,18.2925,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",50.00,5,0,2,1,0,"FallDamageArea-:20;C1GunnerMobPrefab (8)-RangedAttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",106.34,10,2,291.00,7.73,37.6302,16,0,282.00,12.40,22.7426,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",30.00,7,0,0,1,0,"C1TonpaMobPrefab (8)-AttackHitbox:10;C1SandMecha (1)-MeleeHitbox:20"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",23.44,21,1,327.00,9.62,34.0034,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,0,2,0,0,"C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",702.21,66,10,1066.90,38.63,27.6163,149,32,2623.38,164.15,15.9816,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff}",440.00,27,0,59,7,7,"C1Boss-DashAttackHitbox:90;C1TonpaMobPrefab(Clone)-AttackHitbox:40;C1CannonExplode(Clone)-C1CannonExplode(Clone):80;C1Boss-CounterAttackHitbox:60;C1Boss-MeleeAttack1Hitbox:70;C1Boss-MeleeAttack2Hitbox :20;C1Boss-FlameThrowerStartHitbox:40;C1Boss-FlameThrowerMainHitbox:30;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff",149.16,25,2,186.00,16.89,11.0147,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",10.00,10,6,4,0,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff",225.94,44,4,523.00,27.52,19.0071,44,5,687.50,51.80,13.2723,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",120.00,44,28,5,9,1,"C2ShieldMobPrefab-ShieldAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:20;C2GunnerMobPrefab-RangedAttackHitbox:30;C2ShieldMobPrefab (1)-ShieldAttackHitbox:30;C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff",60.28,0,0,0.00,0.00,NaN,12,0,165.00,11.28,14.6232,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,2,1,9,0,0,"C2EliteMobPrefab-JumpAttackHitBox:20;C2EliteMobPrefab-RushAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
