SerialNumber,f535c3ae7435eafae0caba6bab2e33826160c8a9
TotalPlayTime,1205.20
TotalDeathCount,3
TotalKilledEnemies,118
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",59.51,19,1,88.00,8.90,9.8876,4,1,0.00,2.75,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,3,0,12,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",64.95,43,1,529.00,19.53,27.0820,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,17,1,0,2,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",51.85,20,2,335.00,11.03,30.3625,5,1,13.44,4.87,2.7611,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,14,0,0,1,0,""
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",30.94,22,3,555.00,11.85,46.8352,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,8,0,1,0,0,""
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",79.61,34,2,510.80,15.87,32.1932,15,6,55.19,13.62,4.0529,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,22,0,0,2,0,"C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha-DashAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:20"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",17.91,19,1,313.00,8.65,36.1851,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,10,0,0,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",177.32,46,6,827.00,26.05,31.7465,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,16,0,1,0,0,"C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-DashAttackHitbox:20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ExtraDash1,ExtraDash2",113.48,42,1,139.00,24.07,5.7756,4,0,15.00,3.32,4.5227,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,29,2,6,2,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ExtraDash1,ExtraDash2",225.96,154,23,1978.00,93.25,21.2119,2,2,89.38,2.23,40.0197,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",140.00,86,14,27,1,3,"C2GunnerMobPrefab (2)-RangedAttackHitbox:30;C2ShieldMobPrefab (2)-ShieldAttackHitbox:20;C2GunnerMobPrefab-RangedAttackHitbox:40;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2ShieldMobPrefab (1)-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,ExtraDash1,ExtraDash2",3.84,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
