SerialNumber,f535c3ae7435eafae0caba6bab2e33826160c8a9
TotalPlayTime,1193.25
TotalDeathCount,3
TotalKilledEnemies,92
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",54.29,18,1,90.00,9.88,9.1063,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,9,0,0,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",50.29,45,2,578.00,20.68,27.9451,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,19,2,0,5,0,"C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",78.66,22,2,303.00,11.67,25.9715,6,1,13.44,4.80,2.7995,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,16,1,0,0,0,"C1SandMecha-MeleeHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",27.76,36,3,517.00,16.55,31.2386,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,15,2,1,1,0,"C1TonpaMobPrefab (8)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",64.08,38,3,514.00,19.65,26.1578,9,2,79.31,6.68,11.8672,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,25,6,0,0,0,"C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha-DashAttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",19.94,21,1,371.00,10.23,36.2542,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,8,1,0,1,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",188.55,45,6,843.40,27.82,30.3201,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,26,5,0,3,0,"C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-FlameThrowerMiddleHitbox:10;C1Boss-DashAttackHitbox:20;C1Boss-DestroyBoxHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",37.76,22,1,203.00,12.09,16.7946,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,12,8,0,0,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",65.61,55,6,717.00,30.35,23.6244,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,24,8,2,1,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:20;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",53.73,22,2,195.00,11.40,17.1052,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,13,3,2,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
