SerialNumber,8b2dd4f133fc67268672403ca61b1d19f6f1dbfd
TotalPlayTime,1420.96
TotalDeathCount,5
TotalKilledEnemies,107
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",61.88,16,1,96.00,7.47,12.8571,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,1,0,1,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",56.07,26,2,551.00,14.42,38.2194,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,11,1,0,2,0,"C1TonpaMobPrefab (9)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:20"
"C1_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",74.88,8,0,75.00,3.50,21.4286,29,0,231.00,26.30,8.7833,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,8,0,0,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",38.23,19,2,278.00,11.85,23.4600,10,0,210.00,9.23,22.7437,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,5,0,2,0,0,"C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_5","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",76.95,28,2,548.50,14.55,37.6975,19,0,18.00,13.37,1.3466,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,14,0,0,1,0,"C1SandMecha-MeleeHitbox:30"
"C1_Boss_6","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",25.45,24,0,311.00,11.38,27.3207,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,0,0,4,0,""
"C1_Boss_7","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",175.80,19,8,746.00,17.80,41.9107,24,0,76.00,16.70,4.5509,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,16,0,0,1,0,"C1Boss-DashAttackHitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:20;C1Boss-CounterAttackHitbox:10"
"C2_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",63.48,24,0,172.00,10.88,15.8111,17,0,15.00,17.48,0.8580,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",30.00,11,1,3,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:30"
"C2_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",245.83,99,5,1147.00,56.33,20.3611,13,0,110.00,11.67,9.4287,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff}",270.00,39,2,66,0,3,"C2GunnerMobPrefab-RangedAttackHitbox:110;C2BombMobPrefab (1)-ExplosionHitBox:20;C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2ShieldMobPrefab (2)-ShieldAttackHitbox:40;C2EliteMobPrefab-RushAttackHitBox:50;C2ShieldMobPrefab (1)-ShieldAttackHitbox:20;C2EliteMobPrefab-JumpAttackHitBox:20"
"C2_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",49.25,0,2,160.00,3.53,45.2800,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,7,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
