SerialNumber,bec053bd21ed8a618510a3fc1ae9f9fbfe742a03
TotalPlayTime,2497.87
TotalDeathCount,33
TotalKilledEnemies,142
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",74.70,32,1,88.00,15.42,5.7081,6,1,0.00,5.28,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,5,0,0,0,0,""
"C1_Boss_2","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",55.51,42,1,534.00,17.93,29.7770,3,0,15.00,2.12,7.0867,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,16,2,0,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",63.07,28,1,315.00,12.82,24.5775,10,0,6.00,9.18,0.6534,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,14,1,3,3,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",36.30,37,0,485.00,16.15,30.0309,4,0,45.00,4.65,9.6774,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,11,0,2,0,0,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10"
"C1_Boss_5","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",84.56,33,0,364.00,12.63,28.8127,17,0,177.00,16.35,10.8256,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",30.00,13,0,2,2,0,"C1SandMecha (1)-MeleeHitbox:20;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",21.31,23,0,312.00,9.63,32.3875,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,3,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_7","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",209.91,74,2,669.90,32.48,20.6228,26,1,150.00,24.80,6.0484,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",30.00,17,0,9,1,0,"C1Boss-MeleeAttack1Hitbox:20;C1Boss-DashAttackHitbox:10"
"C2_Boss_1","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",52.19,28,1,151.00,15.97,9.4578,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,9,2,7,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",415.31,229,3,1986.00,112.93,17.5856,54,0,434.00,30.82,14.0834,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",250.00,90,32,67,25,6,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:50;C2ShieldMobPrefab-ShieldAttackHitbox:60;C2ShieldMobPrefab (1)-ShieldAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:10;C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2GunnerMobPrefab-RangedAttackHitbox:50;C2EliteMobPrefab-JumpAttackHitBox:30;C2ShieldMobPrefab-AttackHitbox:10"
"C2_Boss_3","ExtraDash1,IncreaseGearLevelOnHit,GenerateShieldOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",56.18,15,0,127.00,6.63,19.1451,4,0,45.00,3.17,14.2107,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,6,0,7,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
