SerialNumber,37019ca468360f4a0036f0bcd03d9098c8439435
TotalPlayTime,1905.74
TotalDeathCount,9
TotalKilledEnemies,100
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",93.80,29,1,93.00,14.83,6.2696,1,0,0.00,0.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,0,0,0,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",72.37,51,0,522.00,22.38,23.3210,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,15,3,0,5,0,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",152.27,34,0,240.00,15.18,15.8066,53,0,318.00,46.53,6.8338,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",80.00,27,0,1,4,1,"C1SandMecha-MeleeHitbox:50;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_4","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",44.88,42,0,532.00,17.65,30.1415,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,0,2,0,0,"C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_5","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",81.43,31,0,341.20,12.92,26.4153,22,0,192.00,17.08,11.2390,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,20,0,0,5,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",25.47,24,0,310.00,9.07,34.1912,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,11,0,0,3,0,""
"C1_Boss_7","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",528.61,164,9,918.10,83.57,10.9865,68,3,469.50,64.93,7.2305,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",240.00,55,0,30,3,4,"C1Boss-CounterAttackHitbox:50;C1Boss-MeleeAttack1Hitbox:50;C1Boss-MeleeAttack3Hitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):50;C1Boss-FlameThrowerStartHitbox:10;C1Boss-FlameThrowerMainHitbox:10;C1Boss-DashAttackHitbox:50;C1Boss-MeleeAttack2Hitbox :10"
"C2_Boss_1","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",104.70,76,6,410.00,37.97,10.7975,9,0,0.00,6.37,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,28,3,18,0,1,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:30;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_2","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",106.03,79,7,713.00,43.22,16.4981,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,24,13,6,2,0,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_3","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",48.63,28,2,178.00,12.95,13.7451,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,9,4,1,1,0,"C2BombMobPrefab-ExplosionHitBox:20"
"C2_Boss_4","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",14.33,9,2,220.00,5.72,38.4839,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,1,2,0,0,"C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_5","ExtraDash1,MaxHPBuff,IncreaseGearLevelOnHit,BaseMoveSpeedBuff,MoreGearIncreaseOnAttack",290.53,55,24,1140.50,61.98,18.4001,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",190.00,59,5,8,16,3,"C2Boss-Lineshot:30;C2Boss-Jumpshot:30;C2Boss-Drillshot-Swing:30;C2Boss-Kickshot-Gun:10;FX_Explosion-Hitbox:50;C2Boss-Kickshot-Kick:40"
