SerialNumber,c0555ea59fed7b3faf563d59b94706ae47bcd771
TotalPlayTime,2040.77
TotalDeathCount,8
TotalKilledEnemies,94
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",90.10,16,0,80.00,7.10,11.2676,9,1,0.00,9.40,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,2,0,1,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",60.53,39,1,553.00,17.73,31.1841,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,10,1,0,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",89.28,15,0,137.00,7.20,19.0278,18,1,201.00,18.97,10.5976,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,0,0,0,0,"C1SandMecha-DashAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",42.63,28,1,419.00,12.78,32.7772,5,0,75.00,5.65,13.2744,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,9,0,1,1,0,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",106.80,7,0,70.00,2.90,24.1377,32,4,697.00,39.08,17.8338,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",40.00,18,0,0,2,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1SandMecha-MeleeHitbox:20"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",43.78,4,0,40.00,2.18,18.3205,14,0,270.00,13.25,20.3774,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",0.00,11,0,0,1,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit,GenerateShieldOnHit",294.18,71,10,1234.38,55.43,22.2678,39,3,194.25,37.38,5.1962,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",90.00,33,0,8,4,1,"C1Boss-DashAttackHitbox:30;C1Boss-MeleeAttack3Hitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-FlameThrowerMiddleHitbox:10;C1Boss-MeleeAttack1Hitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",72.73,28,0,146.00,13.72,10.6447,10,0,45.00,11.73,3.8352,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,2,10,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",143.22,76,1,646.00,39.33,16.4238,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,27,0,29,3,0,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",68.88,22,0,158.00,10.92,14.4733,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,4,5,2,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
