SerialNumber,71d08bbf8bfcf13d1989628f78d4d3dc94e4ea3a
TotalPlayTime,1750.41
TotalDeathCount,13
TotalKilledEnemies,117
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",97.11,48,2,80.00,22.67,3.5294,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,1,0,1,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",55.44,42,1,572.00,18.88,30.2913,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,14,2,1,4,0,""
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",83.47,31,2,269.20,16.45,16.3648,9,0,66.00,8.72,7.5717,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,8,2,7,1,0,"C1SandMecha-DashAttackHitbox:20;C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",36.26,32,1,444.00,14.77,30.0675,3,0,45.00,3.35,13.4327,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,10,0,8,1,0,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;C1GunnerMobPrefab (6)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",133.55,71,1,867.00,28.48,30.4387,30,0,159.00,26.23,6.0610,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",70.00,22,3,4,4,1,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:20;C1TonpaMobPrefab (8)-AttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",26.45,22,0,331.00,9.45,35.0264,1,0,0.00,0.13,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,3,0,0,2,0,"C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",268.54,71,13,1442.30,41.78,34.5185,42,0,110.50,30.93,3.5722,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",70.00,28,3,4,9,1,"C1Boss-FlameThrowerMainHitbox:10;C1Boss-CounterAttackHitbox:10;C1Boss-DashAttackHitbox:20;C1Boss-FlameThrowerStartHitbox:10;C1Boss-MeleeAttack2Hitbox :10;C1Boss-FlameThrowerMiddleHitbox:10"
"C2_Boss_1","ShieldOnEvade,ExtraDash1,ExtraDash2",53.03,33,1,196.00,17.11,11.4543,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,3,17,3,0,""
"C2_Boss_2","ShieldOnEvade,ExtraDash1,ExtraDash2",145.71,106,2,1166.00,50.65,23.0208,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,32,12,38,4,1,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ExtraDash1,ExtraDash2",53.06,29,1,171.00,15.78,10.8341,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,4,3,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
