SerialNumber,8aeb2de0f52cbd8e3ec9c2cb25acf72a58591a20
TotalPlayTime,1179.66
TotalDeathCount,3
TotalKilledEnemies,105
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",53.62,10,1,56.00,4.15,13.4940,5,0,30.00,2.22,13.5340,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",0.00,3,0,0,1,0,""
"C1_Boss_2","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",63.48,16,1,263.00,7.37,35.7015,20,2,285.00,14.42,19.7687,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",0.00,14,1,0,3,0,""
"C1_Boss_3","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",47.23,8,1,119.00,4.67,25.4999,12,0,201.00,6.83,29.4145,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",0.00,5,1,0,1,0,""
"C1_Boss_4","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",25.12,12,0,205.00,4.40,46.5907,13,0,300.00,7.13,42.0559,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",0.00,8,0,1,2,0,""
"C1_Boss_5","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",57.67,17,0,229.50,6.67,34.4246,17,2,453.81,12.82,35.4081,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",0.00,8,0,0,4,0,""
"C1_Boss_6","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",19.47,4,1,128.00,2.28,56.0586,9,0,195.00,4.75,41.0529,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",0.00,4,0,0,1,0,""
"C1_Boss_7","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",169.63,26,5,398.50,15.35,25.9609,35,4,441.25,21.93,20.1178,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun}",10.00,12,2,0,4,0,"C1CannonExplode(Clone)-C1CannonExplode(Clone):10"
"C2_Boss_1","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",51.06,8,0,89.00,4.18,21.2751,16,0,90.00,9.86,9.1282,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",10.00,12,4,2,4,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",168.66,90,0,873.00,40.48,21.5645,24,0,285.00,16.95,16.8142,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Staff}",60.00,38,15,24,13,1,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:20;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_3","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",48.79,16,0,182.00,6.77,26.8963,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",0.00,5,4,1,2,0,""
"C2_Boss_4","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",22.49,22,0,134.00,9.43,14.2048,5,0,60.00,2.58,23.2260,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",0.00,6,4,0,4,0,""
"C2_Boss_5","MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade,MoreGearIncreaseOnAttack",222.06,173,2,851.00,73.55,11.5704,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",130.00,52,11,0,25,2,"C2Boss-Drillshot-Swing:50;C2Boss-Jumpshot:30;C2Boss-Kickshot-Kick:30;C2Boss-Kickshot-Gun:10;C2Boss-Drillshot-Gun1:10"
