SerialNumber,cc88acfdfda0a17391818e551011573bbab5dcbb
TotalPlayTime,4127.34
TotalDeathCount,13
TotalKilledEnemies,140
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",522.70,18,1,88.00,10.68,8.2370,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,3,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",83.98,34,2,542.00,16.12,33.6301,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,6,2,0,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",93.27,13,2,266.00,6.70,39.7018,21,0,88.00,19.83,4.4369,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,3,2,0,1,0,"C1SandMecha-MeleeHitbox:40;C1SandMecha-DashAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",71.57,25,0,388.00,14.17,27.3888,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,13,0,10,0,1,"FallDamageArea-:80;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",2009.73,118,2,1381.30,50.57,27.3162,132,2,981.00,96.58,10.1571,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff}",370.00,10,8,30,2,4,"C1GunnerMobPrefab-RangedAttackHitbox:40;C1TonpaMobPrefab (3)-AttackHitbox:20;C1SandMecha (1)-MeleeHitbox:130;C1TonpaMobPrefab (8)-AttackHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:10;C1SandMecha-MeleeHitbox:80;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:20;C1SandMecha-DashAttackHitbox:20;C1SandMecha (1)-DashAttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",24.38,16,1,317.00,7.15,44.3348,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,0,0,1,0,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",274.81,59,6,752.00,26.67,28.1999,23,1,52.50,23.57,2.2277,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",170.00,0,0,9,0,2,"C1Boss-CounterAttackHitbox:40;C1CannonExplode(Clone)-C1CannonExplode(Clone):30;C1Boss-FlameThrowerMainHitbox:20;C1Boss-FlameThrowerStartHitbox:30;C1Boss-DashAttackHitbox:30;C1Boss-MeleeAttack1Hitbox:10;C1Boss-MeleeAttack3Hitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",52.78,39,1,196.00,17.18,11.4070,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,7,5,0,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2BombMobPrefab-ExplosionHitBox:20"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",125.48,134,8,1256.00,59.70,21.0390,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",120.00,26,22,5,5,1,"C2BombMobPrefab (2)-ExplosionHitBox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2ShieldMobPrefab (2)-ShieldAttackHitbox:20;C2BombMobPrefab (1)-ExplosionHitBox:20;C2ShieldMobPrefab (1)-ShieldAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",65.60,15,0,150.00,5.23,28.6607,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,1,1,8,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",11.33,7,1,234.00,3.23,72.3751,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,0,0,0,0,0,"C2EliteMobPrefab-JumpAttackHitBox:10;C2EliteMobPrefab-RushAttackHitBox:10"
