SerialNumber,dbe279c79dd5ecadc21f2362f4d79efe68772d1e
TotalPlayTime,2163.27
TotalDeathCount,11
TotalKilledEnemies,95
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",130.08,59,1,84.00,25.98,3.2328,7,1,0.00,6.97,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,11,0,8,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",105.62,39,0,426.00,16.70,25.5088,10,0,135.00,7.87,17.1610,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",60.00,10,1,1,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:30;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",81.32,39,0,312.00,17.75,17.5775,9,0,21.00,6.27,3.3511,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,12,0,0,0,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha-DashAttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",41.67,39,0,459.00,16.90,27.1596,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,14,0,1,3,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",88.52,39,0,373.00,17.63,21.1529,13,4,200.25,14.85,13.4849,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,13,0,0,2,0,"C1SandMecha (1)-MeleeHitbox:30"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",30.80,22,0,328.00,10.80,30.3701,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,11,0,0,0,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",469.47,92,11,1414.30,47.88,29.5364,82,3,381.13,76.97,4.9518,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff}",320.00,53,0,26,13,4,"C1Boss-DashAttackHitbox:70;C1Boss-MeleeAttack1Hitbox:10;C1Boss-MeleeAttack3Hitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):60;C1Boss-FlameThrowerStartHitbox:60;C1Boss-FlameThrowerMainHitbox:60;C1Boss-CounterAttackHitbox:10;C1Boss-MeleeAttack2Hitbox :10;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",72.08,37,0,119.00,16.93,7.0294,11,0,30.00,9.90,3.0303,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,14,6,2,2,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",101.08,60,0,653.00,26.87,24.3051,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,23,12,5,4,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2EliteMobPrefab-JumpAttackHitBox:10;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",60.83,20,0,160.00,10.32,15.5089,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,3,2,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",31.90,27,0,201.00,14.25,14.1051,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,11,7,0,1,0,"C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2EliteMobPrefab-RushAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
