SerialNumber,0cdd8deba2fc1563d976fe83d5c5abcea1dbed21
TotalPlayTime,4070.72
TotalDeathCount,23
TotalKilledEnemies,137
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",124.52,21,2,0.00,12.43,0.0000,19,0,90.00,19.03,4.7286,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",0.00,4,0,1,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",107.50,31,0,212.00,15.13,14.0089,22,0,315.00,22.55,13.9689,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",50.00,21,2,0,2,0,"C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",115.32,0,0,0.00,0.27,0.0000,44,0,312.00,44.33,7.0376,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",30.00,22,0,0,0,0,"C1SandMecha-MeleeHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",76.88,0,0,0.00,0.00,NaN,32,0,525.00,31.67,16.5789,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,18,0,3,4,1,"FallDamageArea-:60;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",222.93,0,0,0.00,0.00,NaN,112,0,834.00,101.73,8.1979,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",100.00,54,0,0,4,1,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1SandMecha-LandingImpactHitbox:50;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",40.28,0,0,0.00,0.00,NaN,24,0,315.00,20.85,15.1079,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,0,0,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",658.46,8,0,127.00,3.60,35.2792,271,0,1974.00,255.15,7.7366,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",220.00,93,0,1,8,2,"C1Boss-FlameThrowerStartHitbox:10;C1Boss-DashAttackHitbox:140;C1Boss-CounterAttackHitbox:30;C1TonpaMobPrefab(Clone)-AttackHitbox:20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-MeleeAttack1Hitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",111.10,4,0,47.00,3.08,15.2527,48,0,165.00,46.88,3.5193,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",40.00,17,1,1,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:30;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",407.75,24,0,99.00,10.57,9.3691,195,0,1520.00,173.60,8.7557,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",310.00,88,0,47,6,3,"C2GunnerMobPrefab (2)-RangedAttackHitbox:30;C2ShieldMobPrefab (2)-ShieldAttackHitbox:20;C2GunnerMobPrefab-RangedAttackHitbox:130;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2GunnerMobPrefab (1)-RangedAttackHitbox:40;C2EliteMobPrefab-RushAttackHitBox:40;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,IncreaseGearLevelOnHit",69.28,0,0,0.00,0.00,NaN,18,0,180.00,17.83,10.0936,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,0,12,0,0,"C2EliteMobPrefab-JumpAttackHitBox:10"
