SerialNumber,ea77f99e51ac29bb1056147f4063ce6c48dbcca5
TotalPlayTime,3636.44
TotalDeathCount,26
TotalKilledEnemies,158
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",150.85,38,0,0.00,15.43,0.0000,13,1,90.00,17.37,5.1824,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",0.00,1,0,6,0,0,""
"C1_Boss_2","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",192.40,0,0,0.00,0.00,NaN,63,1,1016.24,76.98,13.2008,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,20,2,0,4,1,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:30"
"C1_Boss_3","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",206.47,0,0,0.00,0.00,NaN,50,1,440.38,64.63,6.8135,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,25,2,1,9,2,"C1SandMecha-MeleeHitbox:50;C1SandMecha-DashAttackHitbox:30"
"C1_Boss_4","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",102.29,23,0,272.00,10.48,25.9458,20,1,495.00,25.43,19.4625,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",40.00,18,0,9,4,1,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10;FallDamageArea-:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_5","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",155.53,31,0,89.90,12.28,7.3187,43,3,517.31,47.78,10.8262,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",10.00,27,0,10,9,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",28.09,8,0,131.00,3.18,41.1532,10,0,180.00,8.00,22.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",10.00,5,0,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_7","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",1172.76,489,27,3556.09,236.15,15.0587,109,6,797.38,78.57,10.1489,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Staff};{order:25,from:Staff,to:Staff};{order:26,from:Staff,to:Staff};{order:27,from:Staff,to:Staff};{order:28,from:Staff,to:Shotgun};{order:29,from:Shotgun,to:Staff};{order:30,from:Staff,to:Staff};{order:31,from:Staff,to:Shotgun};{order:32,from:Shotgun,to:Staff};{order:33,from:Staff,to:Shotgun};{order:34,from:Shotgun,to:Staff};{order:35,from:Staff,to:Shotgun};{order:36,from:Shotgun,to:Staff};{order:37,from:Staff,to:Staff};{order:38,from:Staff,to:Shotgun};{order:39,from:Shotgun,to:Staff};{order:40,from:Staff,to:Shotgun};{order:41,from:Shotgun,to:Staff};{order:42,from:Staff,to:Shotgun};{order:43,from:Shotgun,to:Staff};{order:44,from:Staff,to:Shotgun};{order:45,from:Shotgun,to:Staff};{order:46,from:Staff,to:Shotgun};{order:47,from:Shotgun,to:Staff};{order:48,from:Staff,to:Shotgun};{order:49,from:Shotgun,to:Staff}",490.00,107,16,46,55,12,"C1Boss-DashAttackHitbox:90;C1Boss-CounterAttackHitbox:130;C1Boss-FlameThrowerMainHitbox:60;C1CannonExplode(Clone)-C1CannonExplode(Clone):90;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:50;C1Boss-MeleeAttack3Hitbox:20;C1Boss-MeleeAttack2Hitbox :20;C1Boss-MeleeAttack1Hitbox:10"
"C2_Boss_1","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",119.94,48,1,198.00,21.52,9.1997,34,0,75.00,27.42,2.7350,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,13,7,6,8,1,"C2ShieldMobPrefab-ShieldAttackHitbox:30;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",355.46,171,0,1086.00,73.20,14.8359,79,1,628.75,54.70,11.4946,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun};{order:24,from:Shotgun,to:Staff};{order:25,from:Staff,to:Shotgun};{order:26,from:Shotgun,to:Staff};{order:27,from:Staff,to:Shotgun};{order:28,from:Shotgun,to:Staff};{order:29,from:Staff,to:Shotgun};{order:30,from:Shotgun,to:Staff}",270.00,47,18,43,18,6,"C2GunnerMobPrefab-RangedAttackHitbox:110;C2EliteMobPrefab-RushAttackHitBox:40;C2GunnerMobPrefab (2)-RangedAttackHitbox:30;C2ShieldMobPrefab (2)-ShieldAttackHitbox:40;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10"
"C2_Boss_3","ExtraDash1,ExtraDash2,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",82.46,9,0,77.00,3.93,19.5774,7,0,90.00,4.42,20.3770,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,8,2,4,3,0,""
