SerialNumber,25f0d3036e527d6f965b18fbc9ff121c19358e3a
TotalPlayTime,3797.61
TotalDeathCount,6
TotalKilledEnemies,117
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",132.07,14,0,84.00,7.57,11.1013,5,1,0.00,6.48,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,4,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",53.20,38,0,529.00,15.00,35.2662,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,13,3,0,2,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",148.95,20,0,230.00,7.63,30.1307,6,1,95.38,5.98,15.9399,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,7,1,2,0,0,"C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",34.25,27,1,436.00,12.40,35.1614,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,0,1,0,0,"C1GunnerMobPrefab (8)-RangedAttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",72.57,22,1,393.00,10.42,37.7279,8,4,202.44,10.93,18.5154,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",10.00,11,0,0,2,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",43.85,0,0,0.00,0.00,NaN,16,1,345.00,18.15,19.0084,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,0,0,3,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",156.59,47,6,845.70,25.52,33.1429,1,0,0.00,0.87,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",20.00,12,1,0,2,0,"C1Boss-DashAttackHitbox:10;C1TonpaMobPrefab(Clone)-AttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",83.37,39,1,322.00,19.88,16.1935,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,9,4,7,1,1,"C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2BombMobPrefab-ExplosionHitBox:20"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",1339.67,16,0,52.00,7.85,6.6240,133,11,1570.37,129.12,12.1624,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun}",160.00,47,20,35,12,2,"C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2ShieldMobPrefab (2)-ShieldAttackHitbox:50;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2EliteMobPrefab-RushAttackHitBox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:20;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",63.13,4,0,28.00,2.12,13.2281,12,1,194.38,11.52,16.8782,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",20.00,10,4,2,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:20"
