SerialNumber,c8c4501670acf0cf38b0959149fa162d15fc008c
TotalPlayTime,2728.67
TotalDeathCount,31
TotalKilledEnemies,100
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",64.72,16,1,89.00,9.88,9.0051,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,7,0,0,1,0,""
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",58.83,38,0,563.00,17.83,31.5701,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,12,1,3,3,0,""
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",90.82,4,0,32.00,2.30,13.9131,30,2,385.75,31.47,12.2590,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,3,3,4,0,"C1SandMecha-MeleeHitbox:20"
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",30.17,42,0,539.00,17.63,30.5673,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,13,0,1,0,0,"C1TonpaMobPrefab (8)-AttackHitbox:10;C1GunnerMobPrefab (6)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",64.58,8,0,95.00,3.43,27.6703,16,2,729.50,16.40,44.4821,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,7,0,6,2,0,"C1SandMecha-DashAttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",25.95,0,0,0.00,0.00,NaN,13,0,315.00,13.25,23.7736,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,0,4,3,0,""
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",290.98,74,1,743.80,31.28,23.7763,48,1,743.63,34.63,21.4714,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",70.00,24,5,15,8,1,"C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-CounterAttackHitbox:10;C1Boss-DashAttackHitbox:20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20"
"C2_Boss_1","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",66.30,11,0,44.00,5.10,8.6260,16,0,165.00,16.02,10.3017,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",40.00,10,5,0,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",121.48,77,4,885.00,40.28,21.9699,8,0,45.00,4.95,9.0910,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff}",90.00,34,18,7,4,1,"C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2BombMobPrefab (2)-ExplosionHitBox:20;C2EliteMobPrefab-RushAttackHitBox:10;C2EliteMobPrefab-JumpAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",57.40,9,0,87.00,4.80,18.1248,7,0,90.00,6.30,14.2856,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,6,4,16,1,0,"C2EliteMobPrefab-JumpAttackHitBox:10"
