SerialNumber,9dc91d42bf61c9145b032740191f6e363ff16c76
TotalPlayTime,2640.01
TotalDeathCount,6
TotalKilledEnemies,105
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",83.94,57,2,80.00,25.57,3.1291,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,4,0,0,0,0,""
"C1_Boss_2","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",45.35,30,3,546.00,15.67,34.8513,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,1,0,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",60.89,17,1,250.00,7.70,32.4675,12,1,95.38,10.47,9.1123,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,9,0,0,1,0,"C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",25.69,23,3,532.00,13.45,39.5541,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,1,1,0,""
"C1_Boss_5","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",59.06,24,3,520.00,13.13,39.5936,9,1,68.65,7.13,9.6235,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,10,0,0,2,0,"C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",17.73,14,1,334.00,6.60,50.6058,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,2,0,0,0,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",637.37,293,31,1612.20,145.07,11.1135,66,22,1058.35,65.18,16.2364,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff}",210.00,64,0,16,23,5,"C1Boss-DashAttackHitbox:80;C1Boss-MeleeAttack3Hitbox:40;C1Boss-CounterAttackHitbox:70;C1Boss-MeleeAttack1Hitbox:10;C1Boss-FlameThrowerStartHitbox:10"
"C2_Boss_1","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",1131.41,34,0,171.00,15.34,11.1455,4,1,0.00,3.93,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,5,1,6,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",89.43,20,3,420.00,12.35,34.0092,14,1,284.38,13.25,21.4611,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,11,1,12,1,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",43.73,11,1,180.00,5.88,30.5925,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,2,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Boss_4","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",21.23,25,0,200.00,10.87,18.4040,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,5,3,0,1,0,"C2EliteMobPrefab (1)-RushAttackHitBox:10;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_5","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ExtraDash1",159.18,59,5,563.25,30.87,18.2478,6,1,18.59,5.35,3.4754,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,23,4,16,7,1,"C2Boss-Jumpshot:10;C2Boss-Drillshot-Swing:10;C2Boss-Kickshot-Kick:40;FX_Explosion-Hitbox:10"
