SerialNumber,6fb78c7a86dd0eab0729d880dca34eb2a2897a21
TotalPlayTime,1743.84
TotalDeathCount,11
TotalKilledEnemies,169
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",104.75,25,1,82.00,11.33,7.2353,2,0,0.00,1.27,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,2,0,3,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",68.20,45,0,545.00,19.63,27.7589,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,1,1,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Boss_3","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",66.93,32,1,311.00,13.92,22.3473,4,0,6.00,3.25,1.8462,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,5,0,0,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",37.50,42,1,490.00,19.68,24.8942,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,0,1,0,0,""
"C1_Boss_5","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",253.37,80,6,1168.70,39.60,29.5125,77,2,755.50,48.17,15.6851,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",150.00,32,0,8,1,3,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:40;C1SandMecha-DashAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1SandMecha-MeleeHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_6","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",23.42,13,2,356.00,6.78,52.4807,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,0,0,0,0,"C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Boss_7","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",233.17,58,16,1651.00,34.30,48.1345,5,0,3.00,6.45,0.4651,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,5,0,7,0,1,"C1Boss-DashAttackHitbox:30;C1Boss-FlameThrowerStartHitbox:10"
"C2_Boss_1","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",73.57,42,0,175.00,17.85,9.8013,7,0,30.00,7.30,4.1096,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,7,1,12,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:30"
"C2_Boss_2","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",256.97,176,15,2067.00,98.15,21.0596,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",180.00,54,46,19,7,4,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:40;C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2EliteMobPrefab-JumpAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:30;C2BombMobPrefab (1)-ExplosionHitBox:20"
"C2_Boss_3","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,ExtraDash2",48.77,6,1,170.00,3.98,42.6784,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,2,3,1,0,""
