SerialNumber,cbcf23daa14dd086433c0d4cfadd0d4e68c733a7
TotalPlayTime,3173.84
TotalDeathCount,20
TotalKilledEnemies,152
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",89.87,17,1,80.00,9.27,8.6331,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,0,0,6,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",64.93,27,3,511.00,14.52,35.2011,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,1,1,0,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",86.55,20,2,242.00,10.60,22.8302,12,1,95.38,10.85,8.7903,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,3,2,1,0,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha-DashAttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",190.92,19,10,1010.00,24.97,40.4536,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",320.00,20,0,11,0,3,"FallDamageArea-:300;C1TonpaMobPrefab (2)-AttackHitbox:20"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",167.52,34,3,490.00,19.33,25.3449,38,3,518.63,34.72,14.9388,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",120.00,18,7,0,3,1,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:40;C1SandMecha (1)-MeleeHitbox:30;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",20.88,2,3,320.00,4.25,75.2941,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,0,0,0,0,0,""
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",533.74,135,28,2445.10,92.27,26.5003,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",250.00,21,11,18,2,3,"C1Boss-DashAttackHitbox:80;C1Boss-CounterAttackHitbox:70;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):40;C1Boss-MeleeAttack3Hitbox:20;C1Boss-FlameThrowerStartHitbox:10;C1Boss-MeleeAttack1Hitbox:10"
"C2_Boss_1","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",79.05,39,3,249.00,26.19,9.5091,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,15,12,0,2,0,"C2BombMobPrefab-ExplosionHitBox:20;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",299.95,121,19,1656.00,85.38,19.3948,1,1,29.38,1.53,19.1562,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",210.00,57,35,1,7,2,"C2GunnerMobPrefab (2)-RangedAttackHitbox:30;C2BombMobPrefab (1)-ExplosionHitBox:20;C2GunnerMobPrefab-RangedAttackHitbox:40;C2EliteMobPrefab-RushAttackHitBox:10;C2BombMobPrefab (3)-ExplosionHitBox:20;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:40;C2EliteMobPrefab-JumpAttackHitBox:10;C2ShieldMobPrefab (1)-ShieldAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",96.42,6,1,180.00,4.30,41.8600,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,0,0,2,0,0,"C2BombMobPrefab-ExplosionHitBox:20"
"C2_Boss_4","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",39.57,22,1,403.00,12.12,33.2602,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,6,3,0,0,1,"C2ShieldMobPrefab-ShieldAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:20;C2EliteMobPrefab (1)-RushAttackHitBox:20"
"C2_Boss_5","ShieldOnEvade,MaxHPBuff,ReviveOnce,MoreGearIncreaseOnAttack",1132.10,435,76,3943.75,271.91,14.5036,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",870.00,112,65,11,30,10,"C2Boss-Lineshot:110;C2Boss-Drillshot-Swing:130;C2Boss-Kickshot-Gun:130;C2Boss-Drillshot-Gun1:80;FX_Explosion-Hitbox:90;C2Boss-Kickshot-Kick:200;C2Boss-Jumpshot:110;C2Boss-Drillshot-Gun2:20"
