SerialNumber,7f64861400120846097c0ce03de3d9679ace3934
TotalPlayTime,2917.38
TotalDeathCount,26
TotalKilledEnemies,126
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",62.08,16,1,96.00,8.82,10.8886,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,3,0,0,1,0,""
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",59.33,38,0,513.00,17.72,28.9558,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,12,2,1,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",215.75,26,2,214.00,15.33,13.9565,12,2,95.38,10.13,9.4119,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,7,0,0,0,0,"C1SandMecha-MeleeHitbox:20;C1GunnerMobPrefab (4)-RangedAttackHitbox:20"
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",41.95,41,0,456.00,20.17,22.6116,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,14,0,1,2,0,"FallDamageArea-:20;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",95.07,36,2,501.40,16.67,30.0841,24,0,78.00,17.62,4.4276,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,15,0,0,1,0,"C1SandMecha (1)-MeleeHitbox:30;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",22.65,23,0,322.00,9.70,33.1960,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,0,0,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",326.35,45,10,851.70,39.48,21.5711,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,45,3,5,12,1,"C1CannonExplode(Clone)-C1CannonExplode(Clone):40;C1Boss-DashAttackHitbox:30"
"C2_Boss_1","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",64.28,64,0,198.00,27.36,7.2371,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,7,1,7,3,0,"C2ShieldMobPrefab-ShieldAttackHitbox:30;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",197.98,134,5,1682.00,69.10,24.3413,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",170.00,40,8,1,9,3,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:30;C2EliteMobPrefab-RushAttackHitBox:30;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:30;C2ShieldMobPrefab (1)-ShieldAttackHitbox:20;C2ShieldMobPrefab-ShieldAttackHitbox:30;C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0"
"C2_Boss_3","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",59.85,11,3,136.00,9.82,13.8544,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,4,0,1,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_4","ShieldOnEvade,MaxHPBuff,ExtraDash1,BaseMoveSpeedBuff",38.67,22,1,228.00,12.12,18.8174,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,9,1,0,2,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20;C2EliteMobPrefab (1)-RushAttackHitBox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
