SerialNumber,33e0478bb8cf53d93968a45c6a7c7f46640fe8a7
TotalPlayTime,5272.83
TotalDeathCount,58
TotalKilledEnemies,191
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,ExtraDash2,ShieldOnEvade",130.33,18,1,0.00,10.08,0.0000,6,0,90.00,5.85,15.3846,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",0.00,1,0,0,0,0,""
"C1_Boss_2","ExtraDash1,ExtraDash2,ShieldOnEvade",106.58,28,2,329.00,15.30,21.5030,14,0,210.00,11.23,18.6944,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",30.00,17,14,1,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","ExtraDash1,ExtraDash2,ShieldOnEvade",101.67,15,2,156.20,9.57,16.3277,22,0,177.00,19.58,9.0383,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",30.00,16,2,6,0,0,"C1SandMecha-MeleeHitbox:30"
"C1_Boss_4","ExtraDash1,ExtraDash2,ShieldOnEvade",42.27,25,2,409.00,13.10,31.2211,6,0,75.00,4.63,16.1870,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",30.00,6,0,4,0,0,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;FallDamageArea-:20"
"C1_Boss_5","ExtraDash1,ExtraDash2,ShieldOnEvade",104.02,28,3,467.00,16.67,28.0201,28,3,110.81,24.58,4.5076,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,20,2,3,2,0,"C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ExtraDash1,ExtraDash2,ShieldOnEvade",27.47,20,2,335.00,10.17,32.9506,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,0,1,2,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_7","ExtraDash1,ExtraDash2,ShieldOnEvade",1322.94,458,28,4792.70,215.05,22.2865,344,48,920.86,308.17,2.9882,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun};{order:24,from:Shotgun,to:Staff};{order:25,from:Staff,to:Shotgun};{order:26,from:Shotgun,to:Staff};{order:27,from:Staff,to:Shotgun};{order:28,from:Shotgun,to:Staff};{order:29,from:Staff,to:Shotgun};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Shotgun,to:Staff};{order:32,from:Staff,to:Shotgun};{order:33,from:Shotgun,to:Staff};{order:34,from:Staff,to:Shotgun};{order:35,from:Shotgun,to:Staff};{order:36,from:Staff,to:Shotgun};{order:37,from:Shotgun,to:Staff};{order:38,from:Staff,to:Shotgun};{order:39,from:Shotgun,to:Staff};{order:40,from:Staff,to:Shotgun};{order:41,from:Shotgun,to:Staff};{order:42,from:Staff,to:Shotgun};{order:43,from:Shotgun,to:Shotgun};{order:44,from:Shotgun,to:Shotgun};{order:45,from:Shotgun,to:Staff};{order:46,from:Staff,to:Shotgun};{order:47,from:Shotgun,to:Staff};{order:48,from:Staff,to:Shotgun};{order:49,from:Shotgun,to:Staff};{order:50,from:Staff,to:Shotgun};{order:51,from:Shotgun,to:Staff};{order:52,from:Staff,to:Shotgun};{order:53,from:Shotgun,to:Staff};{order:54,from:Staff,to:Shotgun};{order:55,from:Shotgun,to:Staff};{order:56,from:Staff,to:Shotgun};{order:57,from:Shotgun,to:Staff};{order:58,from:Staff,to:Shotgun};{order:59,from:Shotgun,to:Shotgun};{order:60,from:Shotgun,to:Staff};{order:61,from:Staff,to:Shotgun};{order:62,from:Shotgun,to:Staff}",700.00,53,0,28,10,17,"C1Boss-DashAttackHitbox:90;C1CannonExplode(Clone)-C1CannonExplode(Clone):150;C1Boss-FlameThrowerMiddleHitbox:60;C1Boss-CounterAttackHitbox:170;C1Boss-MeleeAttack1Hitbox:40;C1Boss-FlameThrowerStartHitbox:110;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:30;C1Boss-FlameThrowerMainHitbox:30;C1Boss-MeleeAttack3Hitbox:20"
"C2_Boss_1","ExtraDash1,ExtraDash2,ShieldOnEvade",139.57,33,2,114.00,16.31,6.9905,35,4,153.00,29.26,5.2292,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",60.00,25,9,8,2,1,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ExtraDash1,ExtraDash2,ShieldOnEvade",1091.12,375,17,2663.75,251.60,10.5872,147,4,899.38,148.09,6.0733,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff};{order:26,from:Staff,to:Staff};{order:27,from:Staff,to:Staff};{order:28,from:Staff,to:Staff};{order:29,from:Staff,to:Staff};{order:30,from:Staff,to:Shotgun};{order:31,from:Shotgun,to:Staff};{order:32,from:Staff,to:Shotgun};{order:33,from:Shotgun,to:Staff};{order:34,from:Staff,to:Shotgun}",630.00,295,107,99,44,15,"C2GunnerMobPrefab (2)-RangedAttackHitbox:130;C2ShieldMobPrefab (2)-ShieldAttackHitbox:70;C2EliteMobPrefab-JumpAttackHitBox:50;C2GunnerMobPrefab-RangedAttackHitbox:260;C2ShieldMobPrefab (2)-AttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:30;C2EliteMobPrefab-RushAttackHitBox:30;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0"
"C2_Boss_3","ExtraDash1,ExtraDash2,ShieldOnEvade",81.92,17,0,95.00,8.37,11.3549,8,0,75.00,5.03,14.9011,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",0.00,15,1,3,2,0,""
