SerialNumber,bcfe3c02db7812bf19dc30ee3055113ec4b2cb22
TotalPlayTime,3455.13
TotalDeathCount,29
TotalKilledEnemies,174
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",140.25,6,0,0.00,3.00,0.0000,26,2,90.00,27.47,3.2767,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",0.00,6,0,4,0,0,""
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",106.80,0,0,0.00,0.00,NaN,46,2,658.13,41.18,15.9804,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,20,6,0,1,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",104.30,28,1,209.00,12.60,16.5872,38,0,132.00,26.15,5.0478,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",0.00,21,4,1,4,0,""
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",56.12,40,2,433.00,19.35,22.3774,3,3,118.75,3.57,33.2945,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",20.00,16,2,8,1,0,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",108.70,54,2,339.50,24.07,14.1067,41,2,291.88,29.63,9.8496,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",40.00,29,2,5,2,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1SandMecha-MeleeHitbox:20"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",27.02,19,0,246.00,8.47,29.0547,5,1,74.38,2.88,25.7951,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,8,0,7,1,0,""
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",395.58,156,18,2265.90,77.07,29.4020,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",180.00,39,1,60,6,3,"C1CannonExplode(Clone)-C1CannonExplode(Clone):30;C1Boss-CounterAttackHitbox:50;C1Boss-MeleeAttack1Hitbox:40;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-MeleeAttack3Hitbox:10;C1Boss-DashAttackHitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-MeleeAttack2Hitbox :10"
"C2_Boss_1","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",77.82,21,0,45.00,7.83,5.7445,34,2,149.38,27.85,5.3644,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",30.00,21,5,12,3,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",855.30,356,19,2815.63,191.33,14.7158,136,6,943.13,109.73,8.5947,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Staff};{order:18,from:Staff,to:Staff};{order:19,from:Staff,to:Staff};{order:20,from:Staff,to:Staff};{order:21,from:Staff,to:Staff};{order:22,from:Staff,to:Staff};{order:23,from:Staff,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff};{order:26,from:Staff,to:Staff};{order:27,from:Staff,to:Staff};{order:28,from:Staff,to:Shotgun};{order:29,from:Shotgun,to:Staff};{order:30,from:Staff,to:Shotgun};{order:31,from:Shotgun,to:Staff}",890.00,232,98,149,34,17,"C2GunnerMobPrefab (2)-RangedAttackHitbox:240;C2GunnerMobPrefab-RangedAttackHitbox:220;C2EliteMobPrefab-JumpAttackHitBox:70;C2EliteMobPrefab-RushAttackHitBox:110;C2GunnerMobPrefab (1)-RangedAttackHitbox:60;C2ShieldMobPrefab (2)-ShieldAttackHitbox:90;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2BombMobPrefab (1)-ExplosionHitBox:60"
"C2_Boss_3","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,IncreaseGearLevelOnHit,BaseMoveSpeedBuff",59.88,12,1,207.00,5.80,35.6894,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,1,4,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
