SerialNumber,e4722eb3db638766e5ee2aa09ba8faa231abd8ce
TotalPlayTime,2575.15
TotalDeathCount,7
TotalKilledEnemies,105
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",1207.90,14,0,92.00,6.90,13.3331,5,1,0.00,4.93,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,4,0,14,0,0,""
"C1_Boss_2","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",57.40,36,0,450.00,15.80,28.4814,6,0,90.00,5.62,16.0243,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,13,2,7,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",47.68,17,2,326.00,9.18,35.4981,7,0,6.00,3.98,1.5063,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,3,0,6,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",26.05,22,2,433.00,11.23,38.5466,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,0,7,0,0,"FallDamageArea-:20"
"C1_Boss_5","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",103.93,49,0,584.00,19.10,30.5765,29,4,722.13,25.95,27.8271,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff}",60.00,11,0,7,2,1,"C1SandMecha (1)-MeleeHitbox:20;C1SandMecha-MeleeHitbox:30;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Boss_6","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",22.07,22,2,324.00,12.53,25.8503,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,0,5,1,0,""
"C1_Boss_7","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",189.53,51,8,825.60,30.53,27.0396,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,18,0,15,5,0,"C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-CounterAttackHitbox:10"
"C2_Boss_1","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",58.12,42,0,198.00,19.06,10.3861,6,0,0.00,4.32,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,12,2,15,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_2","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",53.53,35,5,667.00,19.70,33.8584,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,8,1,8,0,0,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_3","MoreGearIncreaseOnAttack,ShieldOnEvade,MoreGearOnDashSuccess,ExtraDash1",52.75,6,1,207.00,3.55,58.3131,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,8,0,0,""
