SerialNumber,def6c492470fb041f265af9933f085216364d6b5
TotalPlayTime,1532.59
TotalDeathCount,4
TotalKilledEnemies,94
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",122.08,32,2,96.00,14.72,6.5232,4,1,0.00,3.57,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,0,0,1,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",80.38,28,1,344.00,13.97,24.6302,12,0,165.00,10.47,15.7643,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,7,2,0,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_3","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",90.00,25,0,154.00,10.43,14.7603,24,0,156.00,18.70,8.3423,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,9,1,0,0,0,"C1SandMecha-MeleeHitbox:30;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",33.21,41,0,479.00,17.02,28.1490,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,8,0,1,3,0,""
"C1_Boss_5","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",71.23,47,0,467.00,22.75,20.5274,12,0,102.00,7.10,14.3660,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,15,0,0,6,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",17.45,11,2,352.00,5.95,59.1595,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Boss_7","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",184.84,45,9,775.80,22.57,34.3781,13,0,82.50,9.82,8.4041,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,6,0,0,3,1,"C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-CounterAttackHitbox:20;C1Boss-DashAttackHitbox:10;C1Boss-MeleeAttack1Hitbox:10"
"C2_Boss_1","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",65.91,21,0,104.00,9.53,10.9119,17,2,120.00,16.65,7.2073,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",20.00,7,2,1,3,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_2","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",75.03,69,3,719.00,34.50,20.8405,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,17,1,3,3,0,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_3","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",54.26,16,1,169.00,7.08,23.8585,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,3,0,1,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_4","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",16.08,16,1,224.00,7.60,29.4743,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,0,0,""
"C2_Boss_5","ExtraDash1,MaxHPBuff,ShieldOnEvade,BaseMoveSpeedBuff",457.10,119,19,1529.75,66.17,23.1196,1,2,182.50,3.35,54.4780,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",190.00,54,4,0,16,3,"C2Boss-Drillshot-Swing:30;C2Boss-Kickshot-Kick:80;FX_Explosion-Hitbox:10;C2Boss-Drillshot-Gun2:20;C2Boss-Lineshot:30;C2Boss-Kickshot-Gun:20"
