SerialNumber,aed09b8f24ca7c545e82d9a75bc2697ce7d51b4c
TotalPlayTime,2418.95
TotalDeathCount,19
TotalKilledEnemies,156
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",73.07,7,3,80.00,8.90,8.9888,9,0,0.00,7.42,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,8,0,1,0,0,""
"C1_Boss_2","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",107.93,20,2,228.00,11.08,20.5717,35,3,749.38,25.00,29.9749,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",80.00,22,2,2,1,1,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:30;C1TonpaMobPrefab (6)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_3","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",78.12,14,1,124.00,7.43,16.6819,19,1,208.44,16.45,12.6710,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",0.00,13,1,0,2,0,""
"C1_Boss_4","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",139.77,13,4,334.00,11.32,29.5137,45,3,1092.50,39.23,27.8460,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun}",120.00,35,4,12,1,2,"C1TonpaMobPrefab (1)-AttackHitbox:10;FallDamageArea-:40;C1GunnerMobPrefab (6)-RangedAttackHitbox:30;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab (8)-RangedAttackHitbox:20;C1GunnerMobPrefab (5)-RangedAttackHitbox:10"
"C1_Boss_5","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",172.32,30,0,141.60,11.92,11.8826,65,6,985.33,48.50,20.3162,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun}",80.00,35,0,2,4,1,"C1SandMecha (1)-MeleeHitbox:20;C1SandMecha-MeleeHitbox:60"
"C1_Boss_6","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",25.07,3,1,144.00,1.95,73.8457,10,0,210.00,6.95,30.2155,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",0.00,7,1,0,1,0,""
"C1_Boss_7","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",613.68,216,27,3183.16,117.32,27.1331,155,4,824.31,110.20,7.4801,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun};{order:24,from:Shotgun,to:Staff};{order:25,from:Staff,to:Shotgun};{order:26,from:Shotgun,to:Staff};{order:27,from:Staff,to:Shotgun};{order:28,from:Shotgun,to:Staff};{order:29,from:Staff,to:Shotgun};{order:30,from:Shotgun,to:Staff};{order:31,from:Staff,to:Shotgun};{order:32,from:Shotgun,to:Staff};{order:33,from:Staff,to:Shotgun};{order:34,from:Shotgun,to:Staff};{order:35,from:Staff,to:Shotgun};{order:36,from:Shotgun,to:Staff};{order:37,from:Staff,to:Shotgun};{order:38,from:Shotgun,to:Staff};{order:39,from:Staff,to:Shotgun};{order:40,from:Shotgun,to:Staff};{order:41,from:Staff,to:Shotgun};{order:42,from:Shotgun,to:Staff};{order:43,from:Staff,to:Shotgun};{order:44,from:Shotgun,to:Staff};{order:45,from:Staff,to:Shotgun};{order:46,from:Shotgun,to:Staff};{order:47,from:Staff,to:Staff};{order:48,from:Staff,to:Shotgun};{order:49,from:Shotgun,to:Staff}",380.00,73,0,27,17,7,"C1CannonExplode(Clone)-C1CannonExplode(Clone):70;C1Boss-DashAttackHitbox:120;C1Boss-FlameThrowerStartHitbox:70;C1Boss-CounterAttackHitbox:30;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-FlameThrowerMainHitbox:30;C1Boss-FlameThrowerMiddleHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-MeleeAttack1Hitbox:20;C1Boss-MeleeAttack3Hitbox:10"
"C2_Boss_1","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",77.78,18,1,64.00,9.10,7.0332,19,0,135.00,14.30,9.4425,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",40.00,21,14,3,3,0,"C2GunnerMobPrefab-RangedAttackHitbox:20;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_2","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",377.57,67,7,554.75,40.47,13.7086,65,9,1063.13,72.00,14.7657,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun};{order:24,from:Shotgun,to:Staff};{order:25,from:Staff,to:Shotgun};{order:26,from:Shotgun,to:Staff};{order:27,from:Staff,to:Shotgun}",180.00,120,36,53,13,3,"C2GunnerMobPrefab-RangedAttackHitbox:70;C2EliteMobPrefab-JumpAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (2)-RangedAttackHitbox:40;C2BombMobPrefab (1)-ExplosionHitBox:20;C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","MaxHPBuff,IncreaseGearLevelOnHit,ShieldOnEvade,MoveSpeedBuffOnSpecialAttack",69.13,8,0,10.00,5.58,1.7911,11,2,179.38,12.03,14.9062,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",20.00,15,3,6,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
