SerialNumber,87f5adda4bb441bc612b0266d91db69ef41e28f7
TotalPlayTime,1896.98
TotalDeathCount,7
TotalKilledEnemies,115
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",139.65,3,0,0.00,1.80,0.0000,27,1,90.00,27.02,3.3313,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",10.00,1,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",79.98,9,0,128.00,3.50,36.5714,25,1,405.00,22.08,18.3396,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",30.00,8,1,0,3,0,"C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Boss_3","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",73.84,23,0,233.00,10.62,21.9466,14,0,81.00,10.53,7.6898,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,9,0,0,2,0,""
"C1_Boss_4","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",29.51,37,0,462.00,14.77,31.2867,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,0,1,3,0,""
"C1_Boss_5","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",63.61,40,0,445.30,15.92,27.9771,13,0,103.00,8.58,12.0001,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,12,0,0,5,0,"C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",18.80,20,0,319.00,7.67,41.6086,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,0,1,0,"C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",441.38,242,33,1138.20,125.25,9.0874,58,10,557.13,57.87,9.6277,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff}",190.00,20,0,6,5,4,"C1Boss-DashAttackHitbox:60;C1Boss-MeleeAttack1Hitbox:10;C1Boss-MeleeAttack2Hitbox :30;C1CannonExplode(Clone)-C1CannonExplode(Clone):30;C1Boss-MeleeAttack3Hitbox:10;C1Boss-CounterAttackHitbox:20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ExtraDash1,MoreGearIncreaseOnAttack,MaxHPBuff",46.66,19,2,174.00,10.21,17.0416,3,0,15.00,1.63,9.1839,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,3,1,2,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ExtraDash1,MoreGearIncreaseOnAttack,MaxHPBuff",174.83,49,8,1021.00,28.42,35.9292,40,3,538.75,36.82,14.6334,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff}",60.00,7,0,24,2,1,"C2ShieldMobPrefab-ShieldAttackHitbox:20;C2EliteMobPrefab-JumpAttackHitBox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,ExtraDash1,MoreGearIncreaseOnAttack,MaxHPBuff",104.78,14,2,207.00,8.50,24.3526,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,18,0,0,""
