SerialNumber,f5990b6feaa42f171ab64e59a21ece92b870b61b
TotalPlayTime,1575.95
TotalDeathCount,2
TotalKilledEnemies,94
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",66.12,10,0,90.00,5.55,16.2164,6,1,0.00,4.73,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,5,0,2,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",48.65,41,2,547.00,18.63,29.3561,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,12,7,1,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",62.85,18,1,211.00,7.63,27.6423,8,1,185.38,7.02,26.4190,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",10.00,3,0,0,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",30.03,26,4,521.00,15.98,32.5967,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,0,1,0,0,""
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",80.27,26,5,548.00,17.10,32.0469,11,0,12.00,9.47,1.2676,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,13,0,3,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",19.53,8,2,316.00,5.27,60.0007,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,0,0,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",171.14,55,6,838.20,29.57,28.3495,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,15,3,6,1,0,"C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-MeleeAttack1Hitbox:10;C1Boss-MeleeAttack3Hitbox:10;C1Boss-CounterAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",54.60,28,1,171.00,14.79,11.5648,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,6,3,17,1,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",69.90,39,5,723.00,20.97,34.4831,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,10,0,19,0,0,"C2EliteMobPrefab-JumpAttackHitBox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MaxHPBuff",62.10,15,2,184.00,10.20,18.0389,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,9,1,14,2,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
