SerialNumber,1e23b0955ac16fd460bfde897c8d8263a7679063
TotalPlayTime,2749.03
TotalDeathCount,23
TotalKilledEnemies,130
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",85.60,14,0,83.00,7.82,10.6183,6,1,0.00,6.53,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,7,0,1,1,0,""
"C1_Boss_2","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",70.35,27,3,538.00,16.17,33.2782,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,12,1,0,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_3","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",72.55,18,1,246.20,9.35,26.3318,10,1,80.38,10.75,7.4767,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,12,0,0,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",35.38,28,5,536.00,15.53,34.5063,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,0,1,0,0,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_5","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",79.76,17,1,349.00,9.55,36.5446,15,2,288.19,16.88,17.0694,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",20.00,18,0,0,2,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",28.23,9,1,142.00,6.25,22.7198,3,2,268.13,5.20,51.5624,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",0.00,7,0,0,2,0,""
"C1_Boss_7","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",271.71,48,6,640.20,28.55,22.4238,5,1,308.75,6.60,46.7805,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,20,0,5,1,0,"C1Boss-DashAttackHitbox:20"
"C2_Boss_1","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",66.59,18,1,116.00,10.06,11.5268,19,3,119.38,21.70,5.5012,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",0.00,13,3,4,3,0,""
"C2_Boss_2","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",402.52,45,7,565.00,31.75,17.7952,91,18,1942.50,111.65,17.3981,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff}",210.00,94,23,41,15,5,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:50;C2EliteMobPrefab-RushAttackHitBox:30;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2GunnerMobPrefab-RangedAttackHitbox:50;C2GunnerMobPrefab (2)-RangedAttackHitbox:30;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ExtraDash1,ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit",60.63,4,0,37.00,2.38,15.5239,8,1,149.38,10.15,14.7167,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",0.00,11,1,7,2,0,""
