SerialNumber,f23f4522346a3763105d5c2838219adc12ff300e
TotalPlayTime,2650.49
TotalDeathCount,5
TotalKilledEnemies,113
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",158.75,14,1,92.00,7.42,12.4045,5,0,0.00,4.13,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,2,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",63.95,37,0,553.00,17.35,31.8731,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,20,1,0,3,0,""
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",127.58,24,0,260.00,9.45,27.5132,10,0,51.00,8.52,5.9883,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,10,0,0,2,0,"C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",32.10,38,0,443.00,17.13,25.8558,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,13,0,1,1,0,"C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",72.45,34,0,530.20,13.65,38.8424,6,0,12.00,2.82,4.2603,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,11,0,0,1,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",20.05,22,0,313.00,8.48,36.8964,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,0,0,2,0,""
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",492.30,429,46,820.00,215.77,3.8004,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,94,0,0,14,0,"C1Boss-DashAttackHitbox:10;C1Boss-MeleeAttack3Hitbox:10;C1Boss-CounterAttackHitbox:10;C1Boss-MeleeAttack1Hitbox:30;C1Boss-MeleeAttack2Hitbox :10"
"C2_Boss_1","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",71.13,27,0,191.00,15.17,12.5876,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,17,5,1,2,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",358.05,159,6,1386.00,82.53,16.7932,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",360.00,66,12,5,6,4,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:100;C2GunnerMobPrefab (2)-RangedAttackHitbox:60;C2EliteMobPrefab-RushAttackHitBox:60;C2GunnerMobPrefab-RangedAttackHitbox:60;C2ShieldMobPrefab-ShieldAttackHitbox:70;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",131.67,5,1,207.00,4.28,48.3256,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,4,0,0,""
