SerialNumber,b9bd94272c19665cd0f836699a09775587eca3c8
TotalPlayTime,5365.25
TotalDeathCount,126
TotalKilledEnemies,393
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",168.62,23,1,96.00,10.35,9.2754,17,0,0.00,15.35,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,0,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10;C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",468.37,56,1,689.00,23.82,28.9292,267,0,2725.00,118.83,22.9313,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Shotgun}",390.00,74,14,0,9,9,"C1TonpaMobPrefab-AttackHitbox:70;C1GunnerMobPrefab (1)-RangedAttackHitbox:80;C1TonpaMobPrefab (6)-AttackHitbox:40;C1TonpaMobPrefab (9)-AttackHitbox:50;C1GunnerMobPrefab (7)-RangedAttackHitbox:50;C1GunnerMobPrefab (3)-RangedAttackHitbox:50;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (17)-AttackHitbox:20;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_3","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",174.65,59,1,520.00,26.00,20.0000,22,0,88.50,21.10,4.1943,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",110.00,19,0,0,2,2,"C1SandMecha-MeleeHitbox:50;C1SandMecha-DashAttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Boss_4","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",99.40,56,1,747.00,23.95,31.1900,7,1,194.38,7.08,27.4420,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",110.00,12,0,4,1,2,"C1TonpaMobPrefab (8)-AttackHitbox:10;C1GunnerMobPrefab (5)-RangedAttackHitbox:10;FallDamageArea-:60;C1GunnerMobPrefab (8)-RangedAttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_5","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",439.03,75,1,821.00,32.37,25.3655,264,11,3038.75,148.92,20.4057,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Shotgun}",360.00,66,0,0,12,8,"C1TonpaMobPrefab (8)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:30;C1SandMecha (1)-MeleeHitbox:90;C1SandMecha-DashAttackHitbox:10;C1SandMecha (1)-LandingImpactHitbox:50;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:10;C1SandMecha-MeleeHitbox:90;C1TonpaMobPrefab (1)-AttackHitbox:10;C1SandMecha (1)-DashAttackHitbox:10"
"C1_Boss_6","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",27.45,28,0,330.00,11.10,29.7298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",20.00,4,0,0,0,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",531.36,124,16,1921.20,66.42,28.9264,0,3,17.87,5.07,3.5278,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Staff};{order:6,from:Staff,to:Staff}",170.00,13,0,3,0,4,"C1Boss-FlameThrowerMainHitbox:10;C1Boss-CounterAttackHitbox:30;C1Boss-DashAttackHitbox:60;C1Boss-MeleeAttack1Hitbox:20;C1Boss-MeleeAttack3Hitbox:20;C1Boss-FlameThrowerMiddleHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20"
"C2_Boss_1","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",117.25,37,1,333.00,17.88,18.6256,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,7,3,0,1,1,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_2","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",659.72,366,17,3648.00,157.27,23.1963,247,8,2509.00,109.15,22.9868,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",830.00,125,101,3,15,20,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:150;C2GunnerMobPrefab (2)-RangedAttackHitbox:70;C2EliteMobPrefab-RushAttackHitBox:90;C2GunnerMobPrefab (1)-RangedAttackHitbox:60;C2GunnerMobPrefab-RangedAttackHitbox:220;C2BombMobPrefab (1)-ExplosionHitBox:100;C2EliteMobPrefab-JumpAttackHitBox:30;C2ShieldMobPrefab-ShieldAttackHitbox:70;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2GunnerMobPrefab (2)-Hitboxes:10;C2ShieldMobPrefab (1)-ShieldAttackHitbox:30"
"C2_Boss_3","ExtraDash1,ExtraDash2,BaseMoveSpeedBuff,MoveSpeedBuffOnKill",80.53,25,2,142.00,12.77,11.1230,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,7,4,4,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2BombMobPrefab-ExplosionHitBox:20"
