SerialNumber,81c94d86955ec37123dcb22a7c8a35a1f9d90135
TotalPlayTime,3132.23
TotalDeathCount,14
TotalKilledEnemies,105
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",156.57,13,1,57.00,7.92,7.2000,44,3,30.00,42.87,0.6998,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,6,0,6,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",72.87,37,1,461.00,16.48,27.9678,7,0,90.00,3.75,23.9996,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,10,1,4,1,0,"C1TonpaMobPrefab-AttackHitbox:20"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",67.50,31,0,281.00,13.37,21.0222,9,1,27.86,6.95,4.0093,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,9,0,1,1,0,"C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",36.33,28,4,446.00,16.80,26.5475,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,11,0,2,0,0,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;FallDamageArea-:20;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",95.33,44,3,432.50,20.90,20.6936,17,3,206.25,14.27,14.4570,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,22,0,4,1,0,"C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",31.38,22,2,323.00,11.65,27.7253,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,0,9,1,0,"C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",1196.27,265,28,1716.10,138.47,12.3936,622,74,2587.40,335.22,7.7186,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",810.00,209,0,32,55,13,"C1Boss-DashAttackHitbox:160;C1Boss-CounterAttackHitbox:270;C1CannonExplode(Clone)-C1CannonExplode(Clone):140;C1Boss-MeleeAttack3Hitbox:60;C1Boss-FlameThrowerMainHitbox:40;C1Boss-FlameThrowerStartHitbox:40;C1Boss-MeleeAttack2Hitbox :30;C1Boss-MeleeAttack1Hitbox:40;C1Boss-FlameThrowerMiddleHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",63.02,29,0,149.00,14.22,10.4775,6,2,30.00,7.10,4.2252,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,10,4,0,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",81.62,36,5,760.00,18.37,41.3798,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,16,7,3,2,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",69.37,34,0,78.00,18.07,4.3172,3,0,30.00,1.65,18.1829,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,19,5,1,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:20;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_4","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",20.67,23,1,226.00,10.57,21.3876,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,3,0,0,0,"C2EliteMobPrefab (1)-JumpAttackHitBox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_5","ShieldOnEvade,ReviveOnce,BaseMoveSpeedBuff,IncreaseGearLevelOnHit",916.14,110,17,960.75,56.97,16.8649,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,30,9,0,5,1,"C2Boss-Kickshot-Kick:40;FX_Explosion-Hitbox:40;C2Boss-Lineshot:20;C2Boss-Drillshot-Gun2:10"
