SerialNumber,ba295795687d184b3678361e31c585c3d3193e82
TotalPlayTime,6631.94
TotalDeathCount,39
TotalKilledEnemies,479
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",151.16,108,0,0.00,31.27,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,19,13,0,7,0,"C1MidBoss-TangTang 1:10;C1MidBoss-RushKick:10"
"C1_Stage2_1","",58.34,52,0,662.00,15.65,42.3001,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,9,5,1,3,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",123.65,59,1,186.57,23.97,7.7846,27,1,128.00,13.40,9.5522,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun}",10.00,13,10,0,4,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_3","",707.91,214,0,2170.40,71.40,30.3978,197,29,3340.50,211.63,15.7844,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Staff,to:Staff};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Staff,to:Staff};{order:18,from:Shotgun,to:Shotgun};{order:19,from:Staff,to:Staff};{order:20,from:Shotgun,to:Shotgun};{order:21,from:Staff,to:Staff};{order:22,from:Staff,to:Staff};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Staff,to:Staff};{order:25,from:Shotgun,to:Shotgun};{order:26,from:Staff,to:Staff};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Staff,to:Staff};{order:29,from:Shotgun,to:Shotgun};{order:30,from:Staff,to:Staff};{order:31,from:Shotgun,to:Shotgun};{order:32,from:Staff,to:Staff};{order:33,from:Staff,to:Staff};{order:34,from:Shotgun,to:Shotgun};{order:35,from:Staff,to:Staff};{order:36,from:Shotgun,to:Shotgun};{order:37,from:Staff,to:Staff};{order:38,from:Shotgun,to:Shotgun};{order:39,from:Staff,to:Staff};{order:40,from:Shotgun,to:Shotgun};{order:41,from:Staff,to:Staff};{order:42,from:Shotgun,to:Shotgun};{order:43,from:Staff,to:Staff};{order:44,from:Shotgun,to:Shotgun};{order:45,from:Staff,to:Staff}",230.00,130,98,1,40,5,"C1EliteTonpaMobForDashTutorial-Rush Attack:80;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:60;C1TonpaMobPrefab-AttackHitbox:20;C1EliteTonpaMobForDashTutorial-Attack:20;C1EliteTonpaMobForDashTutorial (1)-Rush Attack:40"
"C1_Stage2_4","",31.52,13,0,132.10,5.73,23.0404,10,2,221.00,12.05,18.3402,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,7,4,2,2,0,"Hinge-Hitbox:10;C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_5","",71.39,36,0,430.70,15.70,27.4332,20,4,467.00,17.70,26.3839,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,15,12,6,8,0,"Hinge-Hitbox:10;FallDamageArea (1)-:10"
"C1_Stage2_6","",246.21,215,0,2847.30,74.43,38.2528,35,7,762.50,18.75,40.6664,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Staff,to:Staff}",170.00,64,40,20,22,4,"C1GunnerMobPrefab-RangedAttackHitbox:40;C1EliteTonpaMob (3)-Rush Attack:40;C1PistolMob (2)-AttackHitbox:30;Hinge-Hitbox:20;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:30"
"C1_Stage2_7","",40.57,17,0,222.60,5.08,43.7919,12,1,191.00,9.62,19.8623,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,9,7,2,4,0,"Hinge-Hitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",50.61,66,0,998.00,16.77,59.5231,4,1,113.00,3.03,37.2529,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,15,11,0,7,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_9","",50.67,15,0,118.10,7.28,16.2154,10,1,92.00,7.27,12.6600,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",30.00,2,2,0,0,0,"C1SandMecha-MeleeHitbox:30"
