SerialNumber,bb64b49c0a1612aad2f1ea2e843a748f3402dd9e
TotalPlayTime,3349.57
TotalDeathCount,46
TotalKilledEnemies,166
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","",83.52,20,2,84.00,12.63,6.6490,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,7,0,10,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","",285.53,100,1,1141.00,76.88,14.8407,25,4,555.00,31.80,17.4528,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Shotgun}",130.00,50,10,5,3,3,"C1TonpaMobPrefab-AttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1TonpaMobPrefab (17)-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:30;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_3","",200.85,0,0,0.00,0.00,NaN,66,6,632.38,73.60,8.5920,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,32,0,5,3,1,"C1SandMecha-MeleeHitbox:30;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:20"
"C1_Boss_4","",80.75,25,3,673.00,15.65,43.0021,1,2,0.00,4.93,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff}",50.00,12,0,10,0,1,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (5)-RangedAttackHitbox:10;FallDamageArea-:20;C1TonpaMobPrefab (8)-AttackHitbox:10"
"C1_Boss_5","",156.82,6,3,402.00,6.30,63.8090,43,5,624.25,34.23,18.2351,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun}",70.00,10,0,16,0,1,"C1SandMecha-MeleeHitbox:30;C1SandMecha (1)-MeleeHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_6","",48.37,4,1,132.00,3.03,43.5149,6,1,210.00,6.80,30.8810,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",20.00,0,0,8,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_7","",498.70,29,8,641.00,18.32,34.9955,151,9,512.46,121.53,4.2167,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",230.00,83,18,7,27,5,"C1Boss-DashAttackHitbox:70;C1CannonExplode(Clone)-C1CannonExplode(Clone):30;C1Boss-FlameThrowerMainHitbox:30;C1Boss-CounterAttackHitbox:50;C1Boss-FlameThrowerMiddleHitbox:10;C1Boss-MeleeAttack1Hitbox:10;C1Boss-MeleeAttack2Hitbox :10;C1Boss-MeleeAttack3Hitbox:10;C1Boss-FlameThrowerStartHitbox:10"
"C2_Boss_1","",147.73,27,1,198.00,16.66,11.8883,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,12,4,33,0,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_2","",233.73,73,13,1366.00,51.65,26.4477,3,0,45.00,1.62,27.8345,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",230.00,34,0,85,0,5,"C2GunnerMobPrefab-RangedAttackHitbox:90;C2GunnerMobPrefab (2)-RangedAttackHitbox:60;C2ShieldMobPrefab (2)-ShieldAttackHitbox:40;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2EliteMobPrefab-RushAttackHitBox:30;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_3","",92.47,9,1,172.00,7.43,23.1397,3,0,15.00,2.55,5.8828,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,12,0,23,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
