SerialNumber,8e8b51d4a16a977cca44afdaf99c7451573e8a07
TotalPlayTime,2854.23
TotalDeathCount,3
TotalKilledEnemies,103
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",202.50,55,2,89.00,29.15,3.0532,24,3,0.00,24.97,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",0.00,18,0,13,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",82.99,15,0,198.00,7.07,28.0188,11,2,463.75,12.22,37.9612,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,8,1,0,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",181.07,7,1,118.00,4.80,24.5831,13,4,311.56,17.85,17.4544,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,17,8,27,5,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",52.29,16,1,272.00,8.00,33.9997,2,1,268.75,3.12,86.2307,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",10.00,7,0,14,0,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",195.01,33,0,383.00,13.95,27.4549,74,4,698.63,65.35,10.6905,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",90.00,53,5,8,7,1,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:40;C1SandMecha-MeleeHitbox:20;C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha-DashAttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",36.03,0,0,0.00,0.00,NaN,19,0,315.00,16.17,19.4847,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,9,0,0,3,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",1055.71,43,7,813.40,23.50,34.6126,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,13,2,0,4,0,"C1Boss-DashAttackHitbox:20;C1Boss-CounterAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",60.96,5,0,47.00,2.32,20.2794,19,0,150.00,16.05,9.3456,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",0.00,7,3,12,2,0,""
"C2_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",156.36,0,0,0.00,0.00,NaN,43,8,925.63,57.02,16.2342,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,27,13,15,7,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",69.78,0,0,0.00,0.02,0.0000,5,1,193.75,7.73,25.0545,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,5,2,32,2,0,""
"C2_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",16.81,20,0,203.00,7.97,25.4823,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,0,1,1,0,"C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",399.42,87,12,1074.50,51.41,20.8993,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",160.00,39,14,0,16,2,"C2Boss-Lineshot:40;C2Boss-Kickshot-Kick:20;C2Boss-Jumpshot:20;C2Boss-Drillshot-Swing:30;FX_Explosion-Hitbox:20;C2Boss-Kickshot-Gun:30"
