SerialNumber,af58a979fb43abaa2617d3b1c909ecb696f17f96
TotalPlayTime,3679.79
TotalDeathCount,20
TotalKilledEnemies,110
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",133.08,26,1,87.00,12.45,6.9879,6,1,0.00,5.97,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",0.00,3,0,0,0,0,""
"C1_Boss_2","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",99.82,41,6,557.00,23.73,23.4692,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,9,1,0,1,0,"C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_3","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",318.09,0,0,0.00,0.00,NaN,35,2,371.12,40.93,9.0664,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",30.00,11,0,0,1,0,"C1SandMecha-MeleeHitbox:30"
"C1_Boss_4","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",44.43,4,0,43.00,2.28,18.8332,18,0,330.00,15.72,20.9965,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",40.00,9,0,1,0,0,"FallDamageArea-:20;C1TonpaMobPrefab (9)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_5","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",184.53,15,8,335.00,17.25,19.4206,53,2,259.50,47.48,5.4651,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",30.00,51,0,0,4,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",35.46,5,2,250.00,4.87,51.3695,9,0,75.00,9.15,8.1967,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,3,0,0,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_7","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",879.39,178,20,1590.00,94.87,16.7604,207,35,2351.54,136.83,17.1854,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",540.00,62,0,81,26,10,"C1CannonExplode(Clone)-C1CannonExplode(Clone):90;C1Boss-CounterAttackHitbox:130;C1Boss-DashAttackHitbox:140;C1Boss-MeleeAttack1Hitbox:30;C1Boss-MeleeAttack3Hitbox:20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:40;C1TonpaMobPrefab(Clone)-AttackHitbox:20;C1Boss-FlameThrowerMiddleHitbox:30;C1Boss-MeleeAttack2Hitbox :20;C1Boss-DestroyBoxHitbox:10;C1Boss-FlameThrowerStartHitbox:10"
"C2_Boss_1","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",128.63,34,0,149.00,15.58,9.5608,35,0,165.00,29.53,5.5870,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,20,9,19,5,1,"C2ShieldMobPrefab-ShieldAttackHitbox:40;C2GunnerMobPrefab (1)-RangedAttackHitbox:30"
"C2_Boss_2","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",99.09,20,5,689.00,13.75,50.1091,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,1,27,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_3","MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ShieldOnEvade",53.18,4,1,207.00,3.05,67.8678,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,3,0,0,""
