SerialNumber,5730704991223c9fc18a97d35b11b54d2b295b5d
TotalPlayTime,2242.61
TotalDeathCount,16
TotalKilledEnemies,133
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",62.72,15,1,94.00,7.65,12.2875,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,0,0,0,0,0,""
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",51.07,40,0,543.00,17.08,31.7855,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,8,1,1,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",71.07,21,0,230.00,9.70,23.7114,16,1,94.44,15.22,6.2062,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,7,0,0,0,0,"C1SandMecha-MeleeHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",77.10,61,1,643.00,27.53,23.3534,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,15,0,2,1,1,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;FallDamageArea-:60;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",76.52,36,0,383.50,14.88,25.7670,14,1,221.38,12.32,17.9737,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,11,0,0,2,0,"C1SandMecha (1)-MeleeHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",23.68,25,0,321.00,10.72,29.9532,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,0,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",215.53,0,0,0.00,0.00,NaN,72,13,848.56,75.47,11.2442,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",70.00,14,0,2,3,0,"C1Boss-DashAttackHitbox:20;C1Boss-CounterAttackHitbox:10;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-FlameThrowerStartHitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-MeleeAttack3Hitbox:10"
"C2_Boss_1","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",53.03,24,1,199.00,12.53,15.8853,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,4,1,2,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",443.78,266,6,2128.00,122.18,17.4166,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",250.00,37,0,81,1,3,"C2GunnerMobPrefab (2)-RangedAttackHitbox:30;C2ShieldMobPrefab (2)-ShieldAttackHitbox:40;C2EliteMobPrefab-JumpAttackHitBox:10;C2ShieldMobPrefab (1)-ShieldAttackHitbox:30;C2GunnerMobPrefab-RangedAttackHitbox:60;C2ShieldMobPrefab-ShieldAttackHitbox:40;C2BombMobPrefab (2)-ExplosionHitBox:20;C2EliteMobPrefab-RushAttackHitBox:20"
"C2_Boss_3","ShieldOnEvade,MaxHPBuff,ReviveOnce,IncreaseGearLevelOnHit",77.97,31,0,146.00,13.77,10.6052,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,3,0,11,0,0,"C2EliteMobPrefab-JumpAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
